"fields__id","fields__label","fields__type","data"
"a","States/UTs","string","Andhra Pradesh"
"b","Year","string","2014"
"c","CrimeHead","string","Bankruptcy or indebtedness"
"d","Male_below 14 years","string","0"
"e","False","string","1"
"f","False","string","76"
"g","False","string","148"
"h","False","string","78"
"i","Male_60 years and above","string","12"
"j","Male_Total","string","315"
"k","Female_below 14 years","string","0"
"l","False","string","0"
"m","False","string","13"
"n","False","string","12"
"o","False","string","3"
"p","Female_60 years and above","string","2"
"q","Female_Total","string","30"
"r","Transgender_below 14 years","string","0"
"s","False","string","0"
"t","False","string","0"
"u","False","string","0"
"v","False","string","0"
"w","Transgender_60 years and above","string","0"
"x","Transgender_Total","string","0"
"y","Grand Total","string","345"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Marriage Related Issues"
"","","","0"
"","","","0"
"","","","26"
"","","","24"
"","","","12"
"","","","3"
"","","","65"
"","","","1"
"","","","1"
"","","","53"
"","","","34"
"","","","7"
"","","","0"
"","","","96"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","161"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Non Settlement of Marriage"
"","","","0"
"","","","0"
"","","","7"
"","","","9"
"","","","0"
"","","","0"
"","","","16"
"","","","0"
"","","","1"
"","","","13"
"","","","4"
"","","","1"
"","","","0"
"","","","19"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","35"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Dowry Related Issues"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","26"
"","","","8"
"","","","2"
"","","","0"
"","","","36"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","36"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Extra Marital affairs"
"","","","0"
"","","","0"
"","","","1"
"","","","2"
"","","","0"
"","","","0"
"","","","3"
"","","","0"
"","","","0"
"","","","2"
"","","","7"
"","","","3"
"","","","0"
"","","","12"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","15"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Divorce"
"","","","0"
"","","","0"
"","","","7"
"","","","3"
"","","","3"
"","","","3"
"","","","16"
"","","","0"
"","","","0"
"","","","4"
"","","","5"
"","","","0"
"","","","0"
"","","","9"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","25"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Others"
"","","","0"
"","","","0"
"","","","11"
"","","","10"
"","","","9"
"","","","0"
"","","","30"
"","","","1"
"","","","0"
"","","","8"
"","","","10"
"","","","1"
"","","","0"
"","","","20"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","50"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Failure in Examination"
"","","","2"
"","","","19"
"","","","34"
"","","","0"
"","","","0"
"","","","0"
"","","","55"
"","","","2"
"","","","22"
"","","","12"
"","","","1"
"","","","1"
"","","","0"
"","","","38"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","93"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Impotency/Infertility"
"","","","0"
"","","","0"
"","","","1"
"","","","2"
"","","","3"
"","","","0"
"","","","6"
"","","","0"
"","","","0"
"","","","1"
"","","","1"
"","","","0"
"","","","0"
"","","","2"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","8"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Other Family problems"
"","","","3"
"","","","8"
"","","","223"
"","","","310"
"","","","101"
"","","","27"
"","","","672"
"","","","9"
"","","","24"
"","","","174"
"","","","135"
"","","","46"
"","","","7"
"","","","395"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","1067"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Illness"
"","","","2"
"","","","27"
"","","","237"
"","","","366"
"","","","253"
"","","","136"
"","","","1021"
"","","","6"
"","","","36"
"","","","219"
"","","","157"
"","","","95"
"","","","62"
"","","","575"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","1596"
"","","","Andhra Pradesh"
"","","","2014"
"","","","AIDS/STD"
"","","","0"
"","","","0"
"","","","4"
"","","","11"
"","","","6"
"","","","1"
"","","","22"
"","","","0"
"","","","0"
"","","","4"
"","","","3"
"","","","0"
"","","","0"
"","","","7"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","29"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Cancer"
"","","","0"
"","","","0"
"","","","1"
"","","","2"
"","","","1"
"","","","0"
"","","","4"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","2"
"","","","1"
"","","","3"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","7"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Paralysis"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","6"
"","","","0"
"","","","7"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","8"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Insanity/Mental illness"
"","","","0"
"","","","6"
"","","","38"
"","","","48"
"","","","25"
"","","","18"
"","","","135"
"","","","0"
"","","","8"
"","","","25"
"","","","18"
"","","","9"
"","","","6"
"","","","66"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","201"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Other prolonged illness"
"","","","2"
"","","","21"
"","","","193"
"","","","305"
"","","","215"
"","","","117"
"","","","853"
"","","","6"
"","","","28"
"","","","190"
"","","","136"
"","","","84"
"","","","54"
"","","","498"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","1351"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Death of dear person"
"","","","0"
"","","","3"
"","","","20"
"","","","22"
"","","","19"
"","","","1"
"","","","65"
"","","","0"
"","","","5"
"","","","6"
"","","","4"
"","","","2"
"","","","1"
"","","","18"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","83"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Drug abuse/addiction"
"","","","0"
"","","","0"
"","","","23"
"","","","34"
"","","","33"
"","","","5"
"","","","95"
"","","","0"
"","","","0"
"","","","1"
"","","","1"
"","","","0"
"","","","0"
"","","","2"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","97"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Fall in social reputation"
"","","","0"
"","","","2"
"","","","3"
"","","","0"
"","","","0"
"","","","1"
"","","","6"
"","","","0"
"","","","1"
"","","","4"
"","","","0"
"","","","0"
"","","","0"
"","","","5"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","11"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Ideological causes/Hero worshipping"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Love affairs"
"","","","0"
"","","","25"
"","","","55"
"","","","7"
"","","","0"
"","","","0"
"","","","87"
"","","","1"
"","","","21"
"","","","27"
"","","","0"
"","","","0"
"","","","0"
"","","","49"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","136"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Poverty"
"","","","0"
"","","","0"
"","","","49"
"","","","65"
"","","","42"
"","","","9"
"","","","165"
"","","","2"
"","","","1"
"","","","6"
"","","","13"
"","","","3"
"","","","2"
"","","","27"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","192"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Unemployment"
"","","","0"
"","","","2"
"","","","45"
"","","","22"
"","","","1"
"","","","0"
"","","","70"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","70"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Property dispute"
"","","","0"
"","","","0"
"","","","8"
"","","","16"
"","","","6"
"","","","3"
"","","","33"
"","","","0"
"","","","0"
"","","","3"
"","","","1"
"","","","2"
"","","","0"
"","","","6"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","39"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Suspected/Illicit relation"
"","","","0"
"","","","0"
"","","","16"
"","","","11"
"","","","2"
"","","","2"
"","","","31"
"","","","0"
"","","","0"
"","","","10"
"","","","15"
"","","","4"
"","","","1"
"","","","30"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","61"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Illegitimate Pregnancy"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Physical Abuse (Rape; etc.)"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Professional/Career Problem"
"","","","0"
"","","","0"
"","","","7"
"","","","8"
"","","","4"
"","","","0"
"","","","19"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","20"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Causes not known"
"","","","3"
"","","","5"
"","","","130"
"","","","175"
"","","","101"
"","","","32"
"","","","446"
"","","","4"
"","","","5"
"","","","39"
"","","","31"
"","","","18"
"","","","7"
"","","","104"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","550"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Other causes"
"","","","9"
"","","","67"
"","","","320"
"","","","412"
"","","","191"
"","","","70"
"","","","1069"
"","","","11"
"","","","68"
"","","","209"
"","","","145"
"","","","46"
"","","","22"
"","","","501"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","1571"
"","","","Andhra Pradesh"
"","","","2014"
"","","","Total"
"","","","19"
"","","","159"
"","","","1273"
"","","","1622"
"","","","846"
"","","","301"
"","","","4220"
"","","","36"
"","","","184"
"","","","779"
"","","","550"
"","","","227"
"","","","104"
"","","","1880"
"","","","0"
"","","","0"
"","","","1"
"","","","0"
"","","","0"
"","","","0"
"","","","1"
"","","","6101"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Bankruptcy or indebtedness"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Marriage Related Issues"
"","","","0"
"","","","0"
"","","","0"
"","","","4"
"","","","0"
"","","","0"
"","","","4"
"","","","0"
"","","","0"
"","","","0"
"","","","2"
"","","","0"
"","","","0"
"","","","2"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","6"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Non Settlement of Marriage"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Dowry Related Issues"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Extra Marital affairs"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Divorce"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Others"
"","","","0"
"","","","0"
"","","","0"
"","","","4"
"","","","0"
"","","","0"
"","","","4"
"","","","0"
"","","","0"
"","","","0"
"","","","2"
"","","","0"
"","","","0"
"","","","2"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","6"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Failure in Examination"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Impotency/Infertility"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","0"
"","","","Arunachal Pradesh"
"","","","2014"
"","","","Other Family problems"
"","","","0"
"","","","0"
"","","","15"
"","","","2"
"","","","3"
