"Sl. No.","Category","State/UT/City","Bankruptcy or Indebtedness - Male","Bankruptcy or Indebtedness - Female","Bankruptcy or Indebtedness - Transgender","Bankruptcy or Indebtedness - Total","Marriage Related Issues (Total) - Male","Marriage Related Issues (Total) - Female","Marriage Related Issues (Total) - Transgender","Marriage Related Issues (Total) - Total","Marriage Related Issues (Non-Settlement of Marriage) - Male","Marriage Related Issues (Non-Settlement of Marriage) - Female","Marriage Related Issues (Non-Settlement of Marriage) - Transgender","Marriage Related Issues (Non-Settlement of Marriage) - Total","Marriage Related Issues (Dowry Related Issues) - Male","Marriage Related Issues (Dowry Related Issues) - Female","Marriage Related Issues (Dowry Related Issues) - Transgender","Marriage Related Issues (Dowry Related Issues) - Total","Marriage Related Issues (Extra Marital affairs) - Male","Marriage Related Issues (Extra Marital affairs) - Female","Marriage Related Issues (Extra Marital affairs) - Transgender","Marriage Related Issues (Extra Marital affairs) - Total","Marriage Related Issues (Divorce) - Male","Marriage Related Issues (Divorce) - Female","Marriage Related Issues (Divorce) - Transgender","Marriage Related Issues (Divorce) - Total","Marriage Related Issues (Others) - Male","Marriage Related Issues (Others) - Female","Marriage Related Issues (Others) - Transgender","Marriage Related Issues (Others) - Total","Failure in Examination - Male","Failure in Examination - Female","Failure in Examination - Transgender","Failure in Examination - Total","Impotency/Infertility - Male","Impotency/Infertility - Female","Impotency/Infertility - Transgender","Impotency/Infertility - Total","Family Problems - Male","Family Problems - Female","Family Problems - Transgender","Family Problems - Total","Illness (Total) - Male","Illness (Total) - Female","Illness (Total) - Transgender","Illness (Total) - Total","Illness (AIDS/STD) - Male","Illness (AIDS/STD) - Female","Illness (AIDS/STD) - Transgender","Illness (AIDS/STD) - Total","Illness (Cancer) - Male","Illness (Cancer) - Female","Illness (Cancer) - Transgender","Illness (Cancer) - Total","Illness (Paralysis) - Male","Illness (Paralysis) - Female","Illness (Paralysis) - Transgender","Illness (Paralysis) - Total","Illness (Insanity/Mental illness) - Male","Illness (Insanity/Mental illness) - Female","Illness (Insanity/Mental illness) - Transgender","Illness (Insanity/Mental illness) - Total","Illness (Other Prolonged Illness) - Male","Illness (Other Prolonged Illness) - Female","Illness (Other Prolonged Illness) - Transgender","Illness (Other Prolonged Illness) - Total","Death of Dear Person - Male","Death of Dear Person - Female","Death of Dear Person - Transgender","Death of Dear Person - Total","Drug Abuse/Alcoholic Addiction - Male","Drug Abuse/Alcoholic Addiction - Female","Drug Abuse/Alcoholic Addiction - Transgender","Drug Abuse/Alcoholic Addiction - Total","Fall in Social Reputation - Male","Fall in Social Reputation - Female","Fall in Social Reputation - Transgender","Fall in Social Reputation - Total","Ideological Causes/Hero Worshipping - Male","Ideological Causes/Hero Worshipping - Female","Ideological Causes/Hero Worshipping - Transgender","Ideological Causes/Hero Worshipping - Total","Love Affairs - Male","Love Affairs - Female","Love Affairs - Transgender","Love Affairs - Total","Poverty - Male","Poverty - Female","Poverty - Transgender","Poverty - Total","Unemployment - Male","Unemployment - Female","Unemployment - Transgender","Unemployment - Total","Property Dispute - Male","Property Dispute - Female","Property Dispute - Transgender","Property Dispute - Total","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total","Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total","Professional/Career Problem - Male","Professional/Career Problem - Female","Professional/Career Problem - Transgender","Professional/Career Problem - Total","Causes Not Known - Male","Causes Not Known - Female","Causes Not Known - Transgender","Causes Not Known - Total","Other Causes - Male","Other Causes - Female","Other Causes - Transgender","Other Causes - Total","Total - Male","Total - Female","Total - Transgender","Grand Total"
"1","State","ANDHRA PRADESH","294","18","0","312","65","78","0","143","22","18","0","40","1","18","0","19","12","12","0","24","1","3","0","4","29","27","0","56","56","40","0","96","10","18","0","28","911","477","0","1388","1054","862","0","1916","34","3","0","37","7","29","0","36","27","37","0","64","216","198","0","414","770","595","0","1365","29","16","0","45","159","3","0","162","7","2","0","9","0","0","0","0","55","37","0","92","282","42","0","324","76","4","0","80","84","18","0","102","15","21","0","36","0","0","0","0","0","2","0","2","54","4","0","58","302","49","0","351","854","228","0","1082","4307","1919","0","6226"
"2","State","ARUNACHAL PRADESH","0","0","0","0","4","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","5","0","1","0","1","0","0","0","0","9","8","0","17","13","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","13","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","2","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","35","14","0","49","25","17","0","42","89","46","0","135"
"3","State","ASSAM","0","0","0","0","56","70","0","126","15","10","0","25","4","28","0","32","26","8","0","34","11","24","0","35","0","0","0","0","254","160","0","414","42","20","0","62","346","126","0","472","186","27","0","213","0","0","0","0","41","1","0","42","5","0","0","5","140","26","0","166","0","0","0","0","51","10","0","61","0","0","0","0","43","3","0","46","0","0","0","0","608","279","0","887","242","53","0","295","132","0","0","132","328","111","0","439","0","3","0","3","0","0","0","0","0","0","0","0","19","0","0","19","35","3","0","38","22","2","0","24","2364","867","0","3231"
"4","State","BIHAR","1","0","0","1","46","63","0","109","10","9","0","19","0","15","0","15","15","5","0","20","0","0","0","0","21","34","0","55","21","16","0","37","0","0","0","0","80","68","0","148","30","6","0","36","0","0","0","0","2","1","0","3","0","0","0","0","26","4","0","30","2","1","0","3","0","0","0","0","2","0","0","2","1","0","0","1","0","0","0","0","20","19","0","39","0","0","0","0","0","0","0","0","15","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","6","0","14","66","47","0","113","290","226","0","516"
"5","State","CHHATTISGARH","8","0","0","8","44","101","0","145","19","10","0","29","0","58","0","58","5","4","0","9","2","0","0","2","18","29","0","47","30","22","0","52","5","4","0","9","961","462","0","1423","648","248","0","896","2","0","0","2","5","2","0","7","2","2","0","4","301","105","0","406","338","139","0","477","19","10","0","29","103","2","0","105","9","1","0","10","1","0","0","1","55","42","0","97","4","1","0","5","50","0","0","50","11","3","0","14","10","7","0","17","0","1","0","1","0","1","0","1","8","4","0","12","626","271","0","897","2382","963","1","3346","4974","2143","1","7118"
"6","State","GOA","0","0","0","0","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","4","1","3","0","4","0","0","0","0","26","14","0","40","55","22","0","77","1","0","0","1","0","2","0","2","0","0","0","0","35","8","0","43","19","12","0","31","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","5","6","0","11","0","0","0","0","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","47","17","0","64","70","17","0","87","220","82","0","302"
"7","State","GUJARAT","87","5","0","92","179","170","0","349","68","55","0","123","7","16","0","23","28","40","0","68","48","34","0","82","28","25","0","53","83","68","0","151","6","20","0","26","945","636","0","1581","960","577","0","1537","8","3","0","11","129","39","0","168","83","32","0","115","505","353","0","858","235","150","0","385","44","28","0","72","59","6","0","65","28","2","0","30","16","4","0","20","170","144","0","314","186","46","0","232","218","39","0","257","78","27","0","105","27","28","0","55","0","2","0","2","0","0","0","0","134","16","0","150","1257","616","0","1873","227","108","0","335","4704","2542","0","7246"
"8","State","HARYANA","7","0","0","7","15","16","0","31","5","1","0","6","0","7","0","7","5","2","0","7","0","1","0","1","5","5","0","10","22","5","0","27","0","1","0","1","547","168","0","715","232","57","0","289","1","0","0","1","2","0","0","2","1","0","0","1","45","20","0","65","183","37","0","220","1","0","0","1","45","9","0","54","19","2","0","21","0","3","0","3","21","10","0","31","0","0","0","0","36","2","0","38","86","17","0","103","1","0","0","1","0","1","0","1","0","1","0","1","27","11","0","38","520","93","0","613","1225","345","0","1570","2804","741","0","3545"
"9","State","HIMACHAL PRADESH","0","0","0","0","18","27","0","45","11","10","0","21","0","9","0","9","1","3","0","4","0","2","0","2","6","3","0","9","7","6","0","13","8","3","0","11","49","45","0","94","48","22","0","70","0","0","0","0","1","0","0","1","1","0","0","1","24","12","0","36","22","10","0","32","1","1","0","2","13","0","0","13","2","0","0","2","0","0","0","0","11","6","0","17","3","1","0","4","10","0","0","10","20","3","0","23","7","1","0","8","0","0","0","0","0","1","0","1","7","1","0","8","32","25","0","57","111","54","0","165","347","196","0","543"
"10","State","JAMMU & KASHMIR","0","0","0","0","8","19","0","27","6","10","0","16","0","7","0","7","2","0","0","2","0","0","0","0","0","2","0","2","2","4","0","6","0","0","0","0","32","32","0","64","10","5","0","15","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","7","5","0","12","0","0","0","0","1","0","0","1","1","0","0","1","2","0","0","2","3","30","0","33","7","3","0","10","7","3","0","10","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","5","5","0","10","57","28","0","85","66","40","0","106","202","170","0","372"
