"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006"
"a","State/UTs","string","Total (All India)","2013","No Education","15579","9425","25004"
"b","Year","string","Total (All India)","2013","Primary","19502","10322","29824"
"c","CAUSE","string","Total (All India)","2013","Middle","21679","10095","31774"
"d","Male","string","Total (All India)","2013","Matriculate/Secondary","19416","8180","27596"
"e","Female","string","Total (All India)","2013","Hr. Secondary/Intermediate/Pre-University","9544","4305","13849"
"f","Total","string","Total (All India)","2013","Diploma","1204","452","1656"
"","","","Total (All India)","2013","Graduate","3110","1270","4380"
"","","","Total (All India)","2013","Post Graduate and Above","509","207","716"
"","","","Total (All India)","2013","Total","90543","44256","134799"
"","","","Total (States)","2013","No Education","15363","9328","24691"
"","","","Total (States)","2013","Primary","19233","10199","29432"
"","","","Total (States)","2013","Middle","21172","9919","31091"
"","","","Total (States)","2013","Matriculate/Secondary","18856","7935","26791"
"","","","Total (States)","2013","Hr. Secondary/Intermediate/Pre-University","9160","4100","13260"
"","","","Total (States)","2013","Diploma","1184","444","1628"
"","","","Total (States)","2013","Graduate","3014","1223","4237"
"","","","Total (States)","2013","Post Graduate and Above","497","203","700"
"","","","Total (States)","2013","Total","88479","43351","131830"
"","","","Total (UTs)","2013","No Education","216","97","313"
"","","","Total (UTs)","2013","Primary","269","123","392"
"","","","Total (UTs)","2013","Middle","507","176","683"
"","","","Total (UTs)","2013","Matriculate/Secondary","560","245","805"
"","","","Total (UTs)","2013","Hr. Secondary/Intermediate/Pre-University","384","205","589"
"","","","Total (UTs)","2013","Diploma","20","8","28"
"","","","Total (UTs)","2013","Graduate","96","47","143"
"","","","Total (UTs)","2013","Post Graduate and Above","12","4","16"
"","","","Total (UTs)","2013","Total","2064","905","2969"
"","","","Andhra Pradesh","2013","No Education","3127","1704","4831"
"","","","Andhra Pradesh","2013","Primary","1895","892","2787"
"","","","Andhra Pradesh","2013","Middle","1760","759","2519"
"","","","Andhra Pradesh","2013","Matriculate/Secondary","1605","704","2309"
"","","","Andhra Pradesh","2013","Hr. Secondary/Intermediate/Pre-University","795","399","1194"
"","","","Andhra Pradesh","2013","Diploma","104","53","157"
"","","","Andhra Pradesh","2013","Graduate","555","165","720"
"","","","Andhra Pradesh","2013","Post Graduate and Above","61","29","90"
"","","","Andhra Pradesh","2013","Total","9902","4705","14607"
"","","","Arunachal Pradesh","2013","No Education","46","19","65"
"","","","Arunachal Pradesh","2013","Primary","42","14","56"
"","","","Arunachal Pradesh","2013","Middle","37","14","51"
"","","","Arunachal Pradesh","2013","Matriculate/Secondary","33","5","38"
"","","","Arunachal Pradesh","2013","Hr. Secondary/Intermediate/Pre-University","11","5","16"
"","","","Arunachal Pradesh","2013","Diploma","0","0","0"
"","","","Arunachal Pradesh","2013","Graduate","2","1","3"
"","","","Arunachal Pradesh","2013","Post Graduate and Above","0","0","0"
"","","","Arunachal Pradesh","2013","Total","171","58","229"
"","","","Assam","2013","No Education","355","182","537"
"","","","Assam","2013","Primary","490","196","686"
"","","","Assam","2013","Middle","818","319","1137"
"","","","Assam","2013","Matriculate/Secondary","540","165","705"
"","","","Assam","2013","Hr. Secondary/Intermediate/Pre-University","318","120","438"
"","","","Assam","2013","Diploma","5","2","7"
"","","","Assam","2013","Graduate","31","11","42"
"","","","Assam","2013","Post Graduate and Above","1","0","1"
"","","","Assam","2013","Total","2558","995","3553"
"","","","Bihar","2013","No Education","127","136","263"
"","","","Bihar","2013","Primary","150","116","266"
"","","","Bihar","2013","Middle","168","66","234"
"","","","Bihar","2013","Matriculate/Secondary","113","55","168"
"","","","Bihar","2013","Hr. Secondary/Intermediate/Pre-University","38","30","68"
"","","","Bihar","2013","Diploma","11","12","23"
"","","","Bihar","2013","Graduate","19","10","29"
"","","","Bihar","2013","Post Graduate and Above","4","2","6"
"","","","Bihar","2013","Total","630","427","1057"
"","","","Chhattisgarh","2013","No Education","868","551","1419"
"","","","Chhattisgarh","2013","Primary","798","437","1235"
"","","","Chhattisgarh","2013","Middle","974","415","1389"
"","","","Chhattisgarh","2013","Matriculate/Secondary","645","281","926"
"","","","Chhattisgarh","2013","Hr. Secondary/Intermediate/Pre-University","307","82","389"
"","","","Chhattisgarh","2013","Diploma","5","12","17"
"","","","Chhattisgarh","2013","Graduate","45","10","55"
"","","","Chhattisgarh","2013","Post Graduate and Above","6","0","6"
"","","","Chhattisgarh","2013","Total","3648","1788","5436"
"","","","Goa","2013","No Education","21","15","36"
"","","","Goa","2013","Primary","22","11","33"
"","","","Goa","2013","Middle","64","35","99"
"","","","Goa","2013","Matriculate/Secondary","66","27","93"
"","","","Goa","2013","Hr. Secondary/Intermediate/Pre-University","51","9","60"
"","","","Goa","2013","Diploma","0","0","0"
"","","","Goa","2013","Graduate","5","1","6"
"","","","Goa","2013","Post Graduate and Above","1","0","1"
"","","","Goa","2013","Total","230","98","328"
"","","","Gujarat","2013","No Education","614","434","1048"
"","","","Gujarat","2013","Primary","1631","1064","2695"
"","","","Gujarat","2013","Middle","889","449","1338"
"","","","Gujarat","2013","Matriculate/Secondary","874","448","1322"
"","","","Gujarat","2013","Hr. Secondary/Intermediate/Pre-University","316","169","485"
"","","","Gujarat","2013","Diploma","52","13","65"
"","","","Gujarat","2013","Graduate","141","53","194"
"","","","Gujarat","2013","Post Graduate and Above","15","4","19"
"","","","Gujarat","2013","Total","4532","2634","7166"
"","","","Haryana","2013","No Education","437","153","590"
"","","","Haryana","2013","Primary","421","180","601"
"","","","Haryana","2013","Middle","559","175","734"
"","","","Haryana","2013","Matriculate/Secondary","660","186","846"
"","","","Haryana","2013","Hr. Secondary/Intermediate/Pre-University","259","85","344"
"","","","Haryana","2013","Diploma","79","17","96"
"","","","Haryana","2013","Graduate","67","15","82"
"","","","Haryana","2013","Post Graduate and Above","20","3","23"
"","","","Haryana","2013","Total","2502","814","3316"
"","","","Himachal Pradesh","2013","No Education","42","16","58"
"","","","Himachal Pradesh","2013","Primary","58","35","93"
"","","","Himachal Pradesh","2013","Middle","57","32","89"
"","","","Himachal Pradesh","2013","Matriculate/Secondary","116","60","176"
"","","","Himachal Pradesh","2013","Hr. Secondary/Intermediate/Pre-University","44","26","70"
"","","","Himachal Pradesh","2013","Diploma","19","3","22"
