"Sl. No.","Category","State/UT","No Education - Male","No Education - Female","No Education - Transgender","No Education - Total","Primary (up to class-5th) - Male","Primary (up to class-5th) - Female","Primary (up to class-5th) - Transgender","Primary (up to class-5th) - Total","Middle (up to class-8th) - Male","Middle (up to class-8th) - Female","Middle (up to class-8th) - Transgender","Middle (up to class-8th) - Total","Matriculate/ Secondary/(up to class-10th) - Male","Matriculate/ Secondary/(up to class-10th) - Female","Matriculate/ Secondary/(up to class-10th) - Transgender","Matriculate/ Secondary/(up to class-10th) - Total","Hr. Secondary/ Intermediate/Pre-University (up to class-12th) - Male","Hr. Secondary/ Intermediate/Pre-University (up to class-12th) - Female","Hr. Secondary/ Intermediate/Pre-University (up to class-12th) - Transgender","Hr. Secondary/ Intermediate/Pre-University (up to class-12th) - Total","Diploma/ Certificate/ ITI - Male","Diploma/ Certificate/ ITI - Female","Diploma/ Certificate/ ITI - Transgender","Diploma/ Certificate/ ITI - Total","Graduate and above - Male","Graduate and above - Female","Graduate and above - Transgender","Graduate and above - Total","Professionals (MBA etc.) - Male","Professionals (MBA etc.) - Female","Professionals (MBA etc.) - Transgender","Professionals (MBA etc.) - Total","Status Not known - Male","Status Not known - Female","Status Not known - Transgender","Status Not known - Total","Total - Male","Total - Female","Total - Transgender","Total"
"1","State","ANDHRA PRADESH","702","400","0","1102","637","345","0","982","529","283","0","812","786","318","0","1104","506","167","0","673","62","31","0","93","153","78","0","231","47","6","0","53","885","291","0","1176","4307","1919","0","6226"
"2","State","ARUNACHAL PRADESH","11","10","0","21","25","6","0","31","20","13","0","33","10","8","0","18","4","7","0","11","0","0","0","0","0","0","0","0","1","0","0","1","18","2","0","20","89","46","0","135"
"3","State","ASSAM","227","123","0","350","445","196","0","641","701","266","0","967","524","179","0","703","456","103","0","559","0","0","0","0","8","0","0","8","0","0","0","0","3","0","0","3","2364","867","0","3231"
"4","State","BIHAR","45","42","0","87","25","25","0","50","54","35","0","89","72","60","0","132","50","37","0","87","0","4","0","4","20","2","0","22","0","0","0","0","24","21","0","45","290","226","0","516"
"5","State","CHHATTISGARH","710","365","0","1075","1022","461","0","1483","1002","448","0","1450","791","366","0","1157","446","156","0","602","12","3","0","15","105","19","0","124","3","0","0","3","883","325","1","1209","4974","2143","1","7118"
"6","State","GOA","28","10","0","38","22","9","0","31","36","12","0","48","59","24","0","83","28","15","0","43","0","2","0","2","9","3","0","12","0","0","0","0","38","7","0","45","220","82","0","302"
"7","State","GUJARAT","558","382","0","940","1003","657","0","1660","1095","598","0","1693","1079","508","0","1587","649","282","0","931","41","13","0","54","143","53","0","196","7","3","0","10","129","46","0","175","4704","2542","0","7246"
"8","State","HARYANA","360","125","0","485","378","96","0","474","730","164","0","894","533","143","0","676","347","71","0","418","39","5","0","44","36","13","0","49","12","3","0","15","369","121","0","490","2804","741","0","3545"
"9","State","HIMACHAL PRADESH","43","18","0","61","37","19","0","56","65","33","0","98","101","68","0","169","65","42","0","107","8","3","0","11","11","8","0","19","2","0","0","2","15","5","0","20","347","196","0","543"
"10","State","JAMMU & KASHMIR","51","54","0","105","28","18","0","46","35","26","0","61","49","36","0","85","14","17","0","31","2","0","0","2","0","1","0","1","1","0","0","1","22","18","0","40","202","170","0","372"
"11","State","JHARKHAND","73","41","0","114","50","25","0","75","85","37","0","122","211","107","0","318","100","47","0","147","4","2","0","6","24","6","0","30","0","0","0","0","20","3","0","23","567","268","0","835"
"12","State","KARNATAKA","1200","703","0","1903","2100","842","0","2942","1461","655","0","2116","1480","607","0","2087","618","276","0","894","75","25","0","100","204","92","0","296","12","11","0","23","304","121","0","425","7454","3332","0","10786"
"13","State","KERALA","176","85","0","261","990","309","0","1299","1163","317","0","1480","2151","633","0","2784","769","313","0","1082","121","21","0","142","222","92","0","314","40","12","0","52","196","82","0","278","5828","1864","0","7692"
"14","State","MADHYA PRADESH","1262","847","0","2109","1502","864","0","2366","1327","854","0","2181","1070","764","0","1834","722","415","0","1137","51","32","0","83","117","63","0","180","20","11","0","31","223","149","0","372","6294","3999","0","10293"
"15","State","MAHARASHTRA","1128","445","2","1575","2418","815","0","3233","2921","1016","0","3937","3873","1234","0","5107","1612","584","0","2196","163","36","0","199","368","127","0","495","28","8","0","36","143","49","0","192","12654","4314","2","16970"
"16","State","MANIPUR","0","2","0","2","0","2","0","2","7","3","0","10","10","8","0","18","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","21","16","0","37"
"17","State","MEGHALAYA","14","4","0","18","14","10","0","24","31","11","0","42","33","7","0","40","9","2","0","11","1","0","0","1","2","0","0","2","0","0","0","0","27","7","0","34","131","41","0","172"
"18","State","MIZORAM","0","0","0","0","11","4","0","15","35","9","0","44","35","7","0","42","17","2","0","19","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","101","22","0","123"
"19","State","NAGALAND","0","0","0","0","1","0","0","1","4","1","0","5","5","2","0","7","3","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","4","16","5","0","21"
"20","State","ODISHA","358","273","0","631","385","252","0","637","468","316","0","784","482","248","0","730","189","113","0","302","26","10","0","36","92","68","0","160","2","3","0","5","373","429","0","802","2375","1712","0","4087"
"21","State","PUNJAB","221","58","0","279","112","19","0","131","126","28","0","154","202","77","0","279","107","38","0","145","11","2","0","13","18","7","0","25","2","3","0","5","17","1","0","18","816","233","0","1049"
"22","State","RAJASTHAN","355","209","0","564","512","226","0","738","510","192","0","702","535","165","0","700","406","69","0","475","21","6","0","27","85","27","0","112","4","2","0","6","109","24","0","133","2537","920","0","3457"
"23","State","SIKKIM","33","12","0","45","37","20","0","57","45","15","0","60","39","14","0","53","12","7","0","19","0","0","0","0","3","1","0","4","1","0","0","1","0","2","0","2","170","71","0","241"
"24","State","TAMIL NADU","1235","679","1","1915","1763","759","1","2523","2421","1069","0","3490","2380","1195","0","3575","1696","846","0","2542","381","114","0","495","487","253","0","740","133","52","0","185","238","74","0","312","10734","5041","2","15777"
"25","State","TELANGANA","1790","914","1","2705","1238","534","0","1772","1554","490","0","2044","1134","350","0","1484","680","269","0","949","74","16","0","90","145","57","0","202","23","3","0","26","671","196","1","868","7309","2829","2","10140"
"26","State","TRIPURA","25","22","0","47","154","84","0","238","136","87","0","223","92","51","0","143","45","21","0","66","2","0","0","2","13","6","0","19","1","0","0","1","7","0","0","7","475","271","0","746"
"27","State","UTTAR PRADESH","455","376","0","831","388","263","0","651","441","334","0","775","364","266","0","630","332","180","0","512","23","12","0","35","72","49","0","121","11","5","0","16","203","128","0","331","2289","1613","0","3902"
"28","State","UTTARAKHAND","41","16","0","57","63","13","0","76","32","20","0","52","60","29","0","89","55","28","0","83","13","6","0","19","19","6","0","25","0","0","0","0","63","11","0","74","346","129","0","475"
"29","State","WEST BENGAL","519","365","0","884","2154","1475","0","3629","1990","1351","0","3341","1602","1031","0","2633","926","456","0","1382","50","9","0","59","237","68","0","305","0","0","0","0","1587","782","0","2369","9065","5537","0","14602"
"TOTAL (STATES)","TOTAL (STATES)","TOTAL (STATES)","11620","6580","4","18204","17514","8348","1","25863","19024","8683","0","27707","19762","8505","0","28267","10865","4565","0","15430","1183","352","0","1535","2593","1099","0","3692","350","122","0","472","6572","2895","2","9469","89483","41149","7","130639"
"30","Union Territories","A & N ISLANDS","0","0","0","0","24","13","0","37","30","11","0","41","35","13","0","48","15","12","0","27","1","1","0","2","3","0","0","3","0","0","0","0","0","0","0","0","108","50","0","158"
"31","Union Territories","CHANDIGARH","1","0","0","1","8","7","0","15","13","7","0","20","25","23","0","48","17","7","0","24","1","0","0","1","4","3","0","7","0","0","0","0","5","0","0","5","74","47","0","121"
"32","Union Territories","D & N HAVELI","33","12","0","45","12","10","0","22","7","7","0","14","10","0","0","10","11","2","0","13","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","74","32","0","106"
"33","Union Territories","DAMAN & DIU","0","2","0","2","2","2","0","4","1","3","0","4","7","3","0","10","4","0","0","4","0","0","0","0","2","0","0","2","0","0","0","0","9","3","0","12","25","13","0","38"
"34","Union Territories","DELHI (UT)","100","68","0","168","159","90","0","249","230","129","0","359","319","166","0","485","171","86","0","257","4","1","0","5","46","26","0","72","2","0","0","2","166","82","0","248","1197","648","0","1845"
"35","Union Territories","LAKSHADWEEP","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","4","1","0","5"
"36","Union Territories","PUDUCHERRY","58","19","0","77","74","26","0","100","104","26","0","130","98","26","0","124","69","18","0","87","12","1","0","13","28","1","0","29","1","0","0","1","119","31","0","150","563","148","0","711"
"TOTAL (UTs)","TOTAL (UTs)","TOTAL (UTs)","192","101","0","293","279","148","0","427","385","183","0","568","498","231","0","729","287","125","0","412","19","3","0","22","83","32","0","115","3","0","0","3","299","116","0","415","2045","939","0","2984"
