0,1,2,3,4,5
ANDHRA PRADESH,2001,No Education,2117,1657,3774
ANDHRA PRADESH,2001,Primary,1536,1076,2612
ANDHRA PRADESH,2001,Middle,1281,722,2003
ANDHRA PRADESH,2001,Matriculate/Secondary,818,449,1267
ANDHRA PRADESH,2001,Hr. Secondary/Intermediate/Pre-Universit,427,168,595
ANDHRA PRADESH,2001,Diploma,75,23,98
ANDHRA PRADESH,2001,Graduate,104,42,146
ANDHRA PRADESH,2001,Post Graduate and Above,21,6,27
ANDHRA PRADESH,2001,Total,6379,4143,10522
ANDHRA PRADESH,2002,No Education,2505,1700,4205
ANDHRA PRADESH,2002,Primary,1723,929,2652
ANDHRA PRADESH,2002,Middle,1731,832,2563
ANDHRA PRADESH,2002,Matriculate/Secondary,965,443,1408
ANDHRA PRADESH,2002,Hr. Secondary/Intermediate/Pre-Universit,496,170,666
ANDHRA PRADESH,2002,Diploma,28,19,47
ANDHRA PRADESH,2002,Graduate,100,25,125
ANDHRA PRADESH,2002,Post Graduate and Above,23,4,27
ANDHRA PRADESH,2002,Total,7571,4122,11693
ANDHRA PRADESH,2003,No Education,2738,1505,4243
ANDHRA PRADESH,2003,Primary,1845,930,2775
ANDHRA PRADESH,2003,Middle,1528,838,2366
ANDHRA PRADESH,2003,Matriculate/Secondary,809,353,1162
ANDHRA PRADESH,2003,Hr. Secondary/Intermediate/Pre-Universit,406,197,603
ANDHRA PRADESH,2003,Diploma,62,11,73
ANDHRA PRADESH,2003,Graduate,101,53,154
ANDHRA PRADESH,2003,Post Graduate and Above,24,9,33
ANDHRA PRADESH,2003,Total,7513,3896,11409
ANDHRA PRADESH,2004,No Education,2937,1843,4780
ANDHRA PRADESH,2004,Primary,2057,995,3052
ANDHRA PRADESH,2004,Middle,2203,906,3109
ANDHRA PRADESH,2004,Matriculate/Secondary,1157,417,1574
ANDHRA PRADESH,2004,Hr. Secondary/Intermediate/Pre-Universit,511,222,733
ANDHRA PRADESH,2004,Diploma,68,15,83
ANDHRA PRADESH,2004,Graduate,135,40,175
ANDHRA PRADESH,2004,Post Graduate and Above,14,6,20
ANDHRA PRADESH,2004,Total,9082,4444,13526
ANDHRA PRADESH,2005,No Education,2761,1685,4446
ANDHRA PRADESH,2005,Primary,2340,1074,3414
ANDHRA PRADESH,2005,Middle,2247,1026,3273
ANDHRA PRADESH,2005,Matriculate/Secondary,796,438,1234
ANDHRA PRADESH,2005,Hr. Secondary/Intermediate/Pre-Universit,557,298,855
ANDHRA PRADESH,2005,Diploma,36,16,52
ANDHRA PRADESH,2005,Graduate,111,34,145
ANDHRA PRADESH,2005,Post Graduate and Above,17,6,23
ANDHRA PRADESH,2005,Total,8865,4577,13442
ANDHRA PRADESH,2006,No Education,2913,1788,4701
ANDHRA PRADESH,2006,Primary,1899,922,2821
ANDHRA PRADESH,2006,Middle,2180,949,3129
ANDHRA PRADESH,2006,Matriculate/Secondary,1096,455,1551
ANDHRA PRADESH,2006,Hr. Secondary/Intermediate/Pre-Universit,563,232,795
ANDHRA PRADESH,2006,Diploma,77,21,98
ANDHRA PRADESH,2006,Graduate,120,36,156
ANDHRA PRADESH,2006,Post Graduate and Above,15,10,25
ANDHRA PRADESH,2006,Total,8863,4413,13276
ANDHRA PRADESH,2007,No Education,3183,1922,5105
ANDHRA PRADESH,2007,Primary,2339,1112,3451
ANDHRA PRADESH,2007,Middle,2336,1127,3463
ANDHRA PRADESH,2007,Matriculate/Secondary,1195,466,1661
ANDHRA PRADESH,2007,Hr. Secondary/Intermediate/Pre-Universit,661,237,898
