"Sl. No.","Category","State/UT","House wife - Male","House wife - Female","House wife - Transgender","House wife - Total","Professionals/Salaried Persons (Total) - Male","Professionals/Salaried Persons (Total) - Female","Professionals/Salaried Persons (Total) - Transgender","Professionals/Salaried Persons (Total) - Total","Professionals/Salaried Persons [Government Servants (Total)] - Male","Professionals/Salaried Persons [Government Servants (Total)] - Female","Professionals/Salaried Persons [Government Servants (Total)] - Transgender","Professionals/Salaried Persons [Government Servants (Total)] - Total","Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Male","Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Female","Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Transgender","Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Total","Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Male","Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Female","Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Transgender","Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Total","Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Male","Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Female","Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Transgender","Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Total","Professionals/Salaried Persons (Private Sector Enterprises) - Male","Professionals/Salaried Persons (Private Sector Enterprises) - Female","Professionals/Salaried Persons (Private Sector Enterprises) - Transgender","Professionals/Salaried Persons (Private Sector Enterprises) - Total","Professionals/Salaried Persons (Public Sector Undertaking) - Male","Professionals/Salaried Persons (Public Sector Undertaking) - Female","Professionals/Salaried Persons (Public Sector Undertaking) - Transgender","Professionals/Salaried Persons (Public Sector Undertaking) - Total","Students - Male","Students - Female","Students - Transgender","Students - Total","Unemployed Persons - Male","Unemployed Persons - Female","Unemployed Persons - Transgender","Unemployed Persons - Total","Self-employed Persons (Total) - Male","Self-employed Persons (Total) - Female","Self-employed Persons (Total) - Transgender","Self-employed Persons (Total) - Total","Self-employed Persons [Business (Total)] - Male","Self-employed Persons [Business (Total)] - Female","Self-employed Persons [Business (Total)] - Transgender","Self-employed Persons [Business (Total)] - Total","Self-employed Persons [Business (Vendor)] - Male","Self-employed Persons [Business (Vendor)] - Female","Self-employed Persons [Business (Vendor)] - Transgender","Self-employed Persons [Business (Vendor)] - Total","Self-employed Persons [Business (Tradesmen)] - Male","Self-employed Persons [Business (Tradesmen)] - Female","Self-employed Persons [Business (Tradesmen)] - Transgender","Self-employed Persons [Business (Tradesmen)] - Total","Self-employed Persons [Business (Other Business)] - Male","Self-employed Persons [Business (Other Business)] - Female","Self-employed Persons [Business (Other Business)] - Transgender","Self-employed Persons [Business (Other Business)] - Total","Other Self-employed Persons - Male","Other Self-employed Persons - Female","Other Self-employed Persons - Transgender","Other Self-employed Persons - Total","Persons Engaged in Farming Sector (Total) - Male","Persons Engaged in Farming Sector (Total) - Female","Persons Engaged in Farming Sector (Total) - Transgender","Persons Engaged in Farming Sector (Total) - Total","Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Male","Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Female","Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Transgender","Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Total","Farmers/Cultivators (Who Cultivate Their Own Land*) - Male","Farmers/Cultivators (Who Cultivate Their Own Land*) - Female","Farmers/Cultivators (Who Cultivate Their Own Land*) - Transgender","Farmers/Cultivators (Who Cultivate Their Own Land*) - Total","Farmers/Cultivators (Who Cultivate On Lease Land#) - Male","Farmers/Cultivators (Who Cultivate On Lease Land#) - Female","Farmers/Cultivators (Who Cultivate On Lease Land#) - Transgender","Farmers/Cultivators (Who Cultivate On Lease Land#) - Total","Persons engaged in Farming Sector (Agricultural Labourers) - Male","Persons engaged in Farming Sector (Agricultural Labourers) - Female","Persons engaged in Farming Sector (Agricultural Labourers) - Transgender","Persons engaged in Farming Sector (Agricultural Labourers) - Total","Daily Wage Earner - Male","Daily Wage Earner - Female","Daily Wage Earner - Transgender","Daily Wage Earner - Total","Retired Persons - Male","Retired Persons - Female","Retired Persons - Transgender","Retired Persons - Total","Other Persons - Male","Other Persons - Female","Other Persons - Transgender","Other Persons - Total","Total - Male","Total - Female","Total - Transgender","Grand Total"
"1","State","ANDHRA PRADESH","0","1126","0","1126","188","23","0","211","49","7","0","56","17","2","0","19","32","5","0","37","0","0","0","0","136","14","0","150","3","2","0","5","204","156","0","360","397","10","0","407","550","69","0","619","406","38","0","444","148","30","0","178","47","0","0","47","211","8","0","219","144","31","0","175","824","92","0","916","468","48","0","516","350","40","0","390","118","8","0","126","356","44","0","400","1032","170","0","1202","19","1","0","20","1093","272","0","1365","4307","1919","0","6226"
"2","State","ARUNACHAL PRADESH","0","13","0","13","12","0","0","12","10","0","0","10","4","0","0","4","6","0","0","6","0","0","0","0","1","0","0","1","1","0","0","1","13","20","0","33","8","3","0","11","6","1","0","7","4","1","0","5","0","0","0","0","0","0","0","0","4","1","0","5","2","0","0","2","10","0","0","10","7","0","0","7","7","0","0","7","0","0","0","0","3","0","0","3","7","0","0","7","0","0","0","0","33","9","0","42","89","46","0","135"
"3","State","ASSAM","0","460","0","460","492","35","0","527","19","0","0","19","2","0","0","2","16","0","0","16","1","0","0","1","247","14","0","261","226","21","0","247","316","248","0","564","192","19","0","211","991","83","0","1074","973","83","0","1056","515","48","0","563","456","35","0","491","2","0","0","2","18","0","0","18","138","0","0","138","84","0","0","84","37","0","0","37","47","0","0","47","54","0","0","54","219","20","0","239","4","0","0","4","12","2","0","14","2364","867","0","3231"
"4","State","BIHAR","0","82","0","82","26","0","0","26","7","0","0","7","5","0","0","5","2","0","0","2","0","0","0","0","14","0","0","14","5","0","0","5","41","21","0","62","29","2","0","31","55","14","0","69","21","3","0","24","4","0","0","4","0","0","0","0","17","3","0","20","34","11","0","45","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","9","1","0","10","0","0","0","0","123","106","0","229","290","226","0","516"
"5","State","CHHATTISGARH","0","1051","0","1051","285","16","0","301","60","5","0","65","5","0","0","5","40","5","0","45","15","0","0","15","196","9","0","205","29","2","0","31","413","317","0","730","380","20","0","400","232","41","0","273","160","5","0","165","52","0","0","52","15","0","0","15","93","5","0","98","72","36","0","108","914","40","0","954","815","39","0","854","730","39","0","769","85","0","0","85","99","1","0","100","884","146","0","1030","7","0","0","7","1859","512","1","2372","4974","2143","1","7118"
"6","State","GOA","0","44","0","44","46","4","0","50","2","0","0","2","1","0","0","1","1","0","0","1","0","0","0","0","42","1","0","43","2","3","0","5","13","12","0","25","53","9","0","62","17","1","0","18","11","1","0","12","0","0","0","0","2","0","0","2","9","1","0","10","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","1","0","38","6","0","0","6","48","11","0","59","220","82","0","302"
"7","State","GUJARAT","0","1818","0","1818","731","69","0","800","77","37","0","114","31","31","0","62","24","3","0","27","22","3","0","25","567","32","0","599","87","0","0","87","234","235","0","469","397","11","0","408","560","35","0","595","378","31","0","409","37","1","0","38","306","30","0","336","35","0","0","35","182","4","0","186","245","56","0","301","50","7","0","57","32","5","0","37","18","2","0","20","195","49","0","244","1854","184","0","2038","190","31","0","221","493","103","0","596","4704","2542","0","7246"
"8","State","HARYANA","0","298","0","298","459","75","0","534","28","5","0","33","1","0","0","1","26","5","0","31","1","0","0","1","408","65","0","473","23","5","0","28","129","48","0","177","270","11","0","281","205","13","0","218","136","4","0","140","25","0","0","25","30","2","0","32","81","2","0","83","69","9","0","78","158","4","0","162","28","0","0","28","20","0","0","20","8","0","0","8","130","4","0","134","227","19","0","246","10","0","0","10","1346","273","0","1619","2804","741","0","3545"
"9","State","HIMACHAL PRADESH","0","123","0","123","45","6","0","51","19","2","0","21","6","0","0","6","10","2","0","12","3","0","0","3","20","3","0","23","6","1","0","7","25","18","0","43","36","1","0","37","26","2","0","28","21","1","0","22","6","0","0","6","4","1","0","5","11","0","0","11","5","1","0","6","45","1","0","46","0","0","0","0","0","0","0","0","0","0","0","0","45","1","0","46","24","2","0","26","2","0","0","2","144","43","0","187","347","196","0","543"
"10","State","JAMMU & KASHMIR","0","68","0","68","8","0","0","8","6","0","0","6","2","0","0","2","4","0","0","4","0","0","0","0","2","0","0","2","0","0","0","0","23","41","0","64","79","29","0","108","20","3","0","23","15","3","0","18","0","1","0","1","1","1","0","2","14","1","0","15","5","0","0","5","21","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","21","2","1","0","3","0","0","0","0","49","28","0","77","202","170","0","372"
