"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006"
"a","STATE/UT","string","TOTAL (ALL INDIA)","2013","Never Married","21062","10766","31828"
"b","Year","string","TOTAL (ALL INDIA)","2013","Married","64098","29491","93589"
"c","CAUSE","string","TOTAL (ALL INDIA)","2013","Widowed/Widower","2695","2311","5006"
"d","Male","string","TOTAL (ALL INDIA)","2013","Divorcee","739","678","1417"
"e","Female","string","TOTAL (ALL INDIA)","2013","Seperated","1949","1010","2959"
"f","Total","string","TOTAL (ALL INDIA)","2013","Total","90543","44256","134799"
"","","","TOTAL (STATES)","2013","Never Married","20516","10437","30953"
"","","","TOTAL (STATES)","2013","Married","62675","28993","91668"
"","","","TOTAL (STATES)","2013","Widowed/Widower","2665","2279","4944"
"","","","TOTAL (STATES)","2013","Divorcee","733","668","1401"
"","","","TOTAL (STATES)","2013","Seperated","1890","974","2864"
"","","","TOTAL (STATES)","2013","Total","88479","43351","131830"
"","","","TOTAL (UTs)","2013","Never Married","546","329","875"
"","","","TOTAL (UTs)","2013","Married","1423","498","1921"
"","","","TOTAL (UTs)","2013","Widowed/Widower","30","32","62"
"","","","TOTAL (UTs)","2013","Divorcee","6","10","16"
"","","","TOTAL (UTs)","2013","Seperated","59","36","95"
"","","","TOTAL (UTs)","2013","Total","2064","905","2969"
"","","","ANDHRA PRADESH","2013","Never Married","1543","748","2291"
"","","","ANDHRA PRADESH","2013","Married","7707","3382","11089"
"","","","ANDHRA PRADESH","2013","Widowed/Widower","289","307","596"
"","","","ANDHRA PRADESH","2013","Divorcee","114","148","262"
"","","","ANDHRA PRADESH","2013","Seperated","249","120","369"
"","","","ANDHRA PRADESH","2013","Total","9902","4705","14607"
"","","","ARUNACHAL PRADESH","2013","Never Married","44","21","65"
"","","","ARUNACHAL PRADESH","2013","Married","119","37","156"
"","","","ARUNACHAL PRADESH","2013","Widowed/Widower","6","0","6"
"","","","ARUNACHAL PRADESH","2013","Divorcee","2","0","2"
"","","","ARUNACHAL PRADESH","2013","Seperated","0","0","0"
"","","","ARUNACHAL PRADESH","2013","Total","171","58","229"
"","","","ASSAM","2013","Never Married","641","228","869"
"","","","ASSAM","2013","Married","1801","661","2462"
"","","","ASSAM","2013","Widowed/Widower","52","31","83"
"","","","ASSAM","2013","Divorcee","0","10","10"
"","","","ASSAM","2013","Seperated","64","65","129"
"","","","ASSAM","2013","Total","2558","995","3553"
"","","","BIHAR","2013","Never Married","150","80","230"
"","","","BIHAR","2013","Married","405","278","683"
"","","","BIHAR","2013","Widowed/Widower","8","6","14"
"","","","BIHAR","2013","Divorcee","41","36","77"
"","","","BIHAR","2013","Seperated","26","27","53"
"","","","BIHAR","2013","Total","630","427","1057"
"","","","CHHATTISGARH","2013","Never Married","887","507","1394"
