"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006","data__007"
"a","States/UTs","string","Andhra Pradesh","2014","Un-Married","626","349","0","975"
"b","Year","string","Andhra Pradesh","2014","Married","2979","1266","0","4245"
"c","CrimeHead","string","Andhra Pradesh","2014","Widowed/Widower","89","68","0","157"
"d","Male","string","Andhra Pradesh","2014","Divorcee","28","30","0","58"
"e","Female","string","Andhra Pradesh","2014","Separated","10","9","0","19"
"f","Transgender","string","Andhra Pradesh","2014","Others","240","84","0","324"
"g","Total","string","Andhra Pradesh","2014","Status not known","248","74","1","323"
"","","","Andhra Pradesh","2014","Total","4220","1880","1","6101"
"","","","Arunachal Pradesh","2014","Un-Married","25","21","0","46"
"","","","Arunachal Pradesh","2014","Married","39","17","0","56"
"","","","Arunachal Pradesh","2014","Widowed/Widower","0","0","0","0"
"","","","Arunachal Pradesh","2014","Divorcee","0","0","0","0"
"","","","Arunachal Pradesh","2014","Separated","0","0","0","0"
"","","","Arunachal Pradesh","2014","Others","26","4","0","30"
"","","","Arunachal Pradesh","2014","Status not known","20","4","0","24"
"","","","Arunachal Pradesh","2014","Total","110","46","0","156"
"","","","Assam","2014","Un-Married","728","342","0","1070"
"","","","Assam","2014","Married","1318","547","0","1865"
"","","","Assam","2014","Widowed/Widower","7","0","0","7"
"","","","Assam","2014","Divorcee","14","4","0","18"
"","","","Assam","2014","Separated","10","0","0","10"
"","","","Assam","2014","Others","176","48","0","224"
"","","","Assam","2014","Status not known","257","95","0","352"
"","","","Assam","2014","Total","2510","1036","0","3546"
"","","","Bihar","2014","Un-Married","123","109","0","232"
"","","","Bihar","2014","Married","255","162","0","417"
"","","","Bihar","2014","Widowed/Widower","4","3","0","7"
"","","","Bihar","2014","Divorcee","0","1","0","1"
"","","","Bihar","2014","Separated","0","0","0","0"
"","","","Bihar","2014","Others","23","7","0","30"
"","","","Bihar","2014","Status not known","17","15","0","32"
"","","","Bihar","2014","Total","422","297","0","719"
"","","","Chhattisgarh","2014","Un-Married","813","517","0","1330"
"","","","Chhattisgarh","2014","Married","2546","1273","0","3819"
"","","","Chhattisgarh","2014","Widowed/Widower","110","65","0","175"
"","","","Chhattisgarh","2014","Divorcee","35","15","0","50"
"","","","Chhattisgarh","2014","Separated","18","5","0","23"
"","","","Chhattisgarh","2014","Others","98","28","0","126"
"","","","Chhattisgarh","2014","Status not known","143","17","0","160"
"","","","Chhattisgarh","2014","Total","3763","1920","0","5683"
"","","","Goa","2014","Un-Married","80","25","0","105"
"","","","Goa","2014","Married","106","58","0","164"
"","","","Goa","2014","Widowed/Widower","0","2","0","2"
"","","","Goa","2014","Divorcee","0","1","0","1"
"","","","Goa","2014","Separated","0","1","0","1"
"","","","Goa","2014","Others","0","0","0","0"
