State/UT,Year,Cause,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Total
ANDHRA PRADESH,2001,By Over Alcoholism,0,18,19,19,2,58,0,5,3,2,2,12,70
ANDHRA PRADESH,2001,By Drowning,38,114,139,66,28,385,26,198,87,53,34,398,783
ANDHRA PRADESH,2001,By Fire/Self Immolation,16,102,172,125,24,439,28,358,189,68,24,667,1106
ANDHRA PRADESH,2001,By Fire-Arms,0,8,5,2,0,15,0,14,11,4,0,29,44
ANDHRA PRADESH,2001,By Hanging,19,410,481,289,65,1264,50,323,205,128,39,745,2009
ANDHRA PRADESH,2001,By Consuming Insecticides,53,649,701,657,149,2209,60,595,456,222,29,1362,3571
ANDHRA PRADESH,2001,By Consuming Other Poison,19,352,351,240,32,994,6,235,145,122,25,533,1527
ANDHRA PRADESH,2001,By Self Infliction of injury,0,22,17,7,3,49,0,28,15,6,4,53,102
ANDHRA PRADESH,2001,By Jumping from (Building),0,0,3,1,1,5,0,2,1,0,0,3,8
ANDHRA PRADESH,2001,By Jumping from (Other sites),6,7,5,0,0,18,0,0,1,0,0,1,19
ANDHRA PRADESH,2001,By Jumping off Moving Vehicles/Trains,1,0,39,14,14,68,0,0,0,0,0,0,68
ANDHRA PRADESH,2001,By Machine,0,2,0,0,1,3,0,0,1,0,0,1,4
ANDHRA PRADESH,2001,By Overdose of sleeping pills,0,9,8,4,0,21,0,3,2,0,1,6,27
ANDHRA PRADESH,2001,By touching electric wires,0,10,19,2,3,34,0,0,0,3,1,4,38
ANDHRA PRADESH,2001,By coming under running vehicles/trains,6,131,161,98,37,433,7,30,26,21,15,99,532
ANDHRA PRADESH,2001,By Other means (please specify),15,224,93,42,10,384,8,80,56,68,18,230,614
ANDHRA PRADESH,2001,Total,173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,10522
ANDHRA PRADESH,2001,Total (Poison),72,1023,1069,904,184,3252,66,858,616,350,58,1948,5200
ANDHRA PRADESH,2001,Total (Jumping),6,7,8,1,1,23,0,2,2,0,0,4,27
ANDHRA PRADESH,2002,By Over Alcoholism,0,25,40,45,8,118,0,1,1,4,1,7,125
ANDHRA PRADESH,2002,By Drowning,22,123,161,114,40,460,14,150,129,39,40,372,832
ANDHRA PRADESH,2002,By Fire/Self Immolation,6,123,145,118,20,412,22,367,257,91,18,755,1167
ANDHRA PRADESH,2002,By Fire-Arms,1,8,18,5,2,34,1,3,15,9,0,28,62
ANDHRA PRADESH,2002,By Hanging,14,493,671,341,93,1612,26,337,183,83,31,660,2272
ANDHRA PRADESH,2002,By Consuming Insecticides,30,759,900,694,138,2521,49,584,466,163,59,1321,3842
ANDHRA PRADESH,2002,By Consuming Other Poison,9,334,420,402,121,1286,12,248,231,127,46,664,1950
ANDHRA PRADESH,2002,By Self Infliction of injury,0,6,7,1,2,16,0,5,0,0,0,5,21
ANDHRA PRADESH,2002,By Jumping from (Building),3,1,39,7,2,52,1,1,7,5,0,14,66
ANDHRA PRADESH,2002,By Jumping from (Other sites),0,8,1,2,0,11,0,2,0,0,0,2,13
ANDHRA PRADESH,2002,By Jumping off Moving Vehicles/Trains,1,18,30,23,16,88,0,3,4,2,0,9,97
ANDHRA PRADESH,2002,By Machine,0,0,0,1,0,1,0,1,0,0,0,1,2
ANDHRA PRADESH,2002,By Overdose of sleeping pills,1,11,17,0,5,34,0,10,3,1,2,16,50
ANDHRA PRADESH,2002,By touching electric wires,1,5,17,6,0,29,0,3,1,1,0,5,34
ANDHRA PRADESH,2002,By coming under running vehicles/trains,3,170,188,108,61,530,0,31,20,11,9,71,601
ANDHRA PRADESH,2002,By Other means,10,89,177,68,23,367,14,58,57,36,27,192,559
ANDHRA PRADESH,2002,Total,101,2173,2831,1935,531,7571,139,1804,1374,572,233,4122,11693
ANDHRA PRADESH,2002,Total (Poison),39,1099,1327,1097,261,3823,61,837,697,290,105,1990,5813
ANDHRA PRADESH,2002,Total (Jumping),3,9,40,9,2,63,1,3,7,5,0,16,79
ANDHRA PRADESH,2003,By Over Alcoholism,0,9,39,15,7,70,0,0,2,0,2,4,74
ANDHRA PRADESH,2003,By Drowning,36,151,167,87,30,471,18,89,61,21,18,207,678
ANDHRA PRADESH,2003,By Fire/Self Immolation,10,123,152,93,15,393,25,333,202,90,12,662,1055
ANDHRA PRADESH,2003,By Fire-Arms,0,2,3,2,0,7,0,5,2,9,0,16,23
ANDHRA PRADESH,2003,By Hanging,17,483,601,440,95,1636,32,326,256,91,30,735,2371
ANDHRA PRADESH,2003,By Consuming Insecticides,52,861,1164,634,181,2892,61,573,433,231,64,1362,4254
ANDHRA PRADESH,2003,By Consuming Other Poison,13,253,285,249,58,858,31,212,145,80,37,505,1363
ANDHRA PRADESH,2003,By Self Infliction of injury,0,6,7,4,1,18,1,3,1,0,0,5,23
ANDHRA PRADESH,2003,By Jumping from (Building),0,9,11,5,2,27,1,2,2,0,0,5,32
ANDHRA PRADESH,2003,By Jumping from (Other sites),0,16,22,9,5,52,0,1,4,5,0,10,62
ANDHRA PRADESH,2003,By Jumping off Moving Vehicles/Trains,0,14,20,4,0,38,0,6,2,5,3,16,54
ANDHRA PRADESH,2003,By Machine,1,2,2,1,0,6,0,0,0,0,0,0,6
ANDHRA PRADESH,2003,By Overdose of sleeping pills,0,9,9,20,19,57,0,9,9,5,5,28,85
ANDHRA PRADESH,2003,By touching electric wires,6,24,16,14,5,65,1,3,5,1,0,10,75
ANDHRA PRADESH,2003,By coming under running vehicles/trains,3,200,188,73,49,513,2,24,24,23,11,84,597
ANDHRA PRADESH,2003,By Other means (please specify),17,108,160,95,30,410,25,99,56,48,19,247,657
ANDHRA PRADESH,2003,Total,155,2270,2846,1745,497,7513,197,1685,1204,609,201,3896,11409
ANDHRA PRADESH,2003,Total (Poison),65,1120,1456,887,240,3768,93,788,579,311,101,1872,5640
ANDHRA PRADESH,2003,Total (Jumping),0,25,33,14,7,79,1,3,6,5,0,15,94
ANDHRA PRADESH,2004,By Over Alcoholism,0,9,19,20,7,55,0,1,1,0,0,2,57
ANDHRA PRADESH,2004,By Drowning,14,97,146,66,25,348,8,93,67,28,34,230,578
ANDHRA PRADESH,2004,By Fire/Self Immolation,7,133,125,58,19,342,20,263,134,51,16,484,826
ANDHRA PRADESH,2004,By Fire-Arms,0,0,4,3,1,8,0,2,2,0,0,4,12
ANDHRA PRADESH,2004,By Hanging,12,623,828,489,169,2121,20,399,266,109,45,839,2960
ANDHRA PRADESH,2004,By Consuming Insecticides,30,946,1267,822,297,3362,61,702,470,298,117,1648,5010
ANDHRA PRADESH,2004,By Consuming Other Poison,6,418,539,346,132,1441,17,297,215,83,36,648,2089
ANDHRA PRADESH,2004,By Self Infliction of injury,0,3,2,1,0,6,0,2,1,0,0,3,9
ANDHRA PRADESH,2004,By Jumping from (Building),1,2,1,1,0,5,2,4,2,1,0,9,14
ANDHRA PRADESH,2004,By Jumping from (Other sites),0,2,2,0,1,5,0,4,5,0,0,9,14
ANDHRA PRADESH,2004,By Jumping off Moving Vehicles/Trains,1,25,45,37,0,108,0,1,2,0,0,3,111
ANDHRA PRADESH,2004,By Machine,0,0,2,0,1,3,0,0,1,0,0,1,4
ANDHRA PRADESH,2004,By Overdose of sleeping pills,0,51,42,22,7,122,1,12,29,10,0,52,174
ANDHRA PRADESH,2004,By touching electric wires,0,23,33,11,0,67,0,2,7,0,0,9,76
ANDHRA PRADESH,2004,By coming under running vehicles/trains,1,84,154,126,83,448,1,31,57,44,32,165,613
ANDHRA PRADESH,2004,By Other means (please specify),23,146,239,173,60,641,12,146,85,65,30,338,979
ANDHRA PRADESH,2004,Total,95,2562,3448,2175,802,9082,142,1959,1344,689,310,4444,13526
ANDHRA PRADESH,2004,Total (Poison),36,1367,1808,1169,429,4809,78,1001,686,381,153,2299,7108
