State/UT,Year,Social Status,Male,Female,Total
ANDHRA PRADESH,2001,Never Married,819,591,1410
ANDHRA PRADESH,2001,Married,5135,3135,8270
ANDHRA PRADESH,2001,Widowed/Widower,183,236,419
ANDHRA PRADESH,2001,Divorcee,47,43,90
ANDHRA PRADESH,2001,Seperated,195,138,333
ANDHRA PRADESH,2001,Total,6379,4143,10522
ANDHRA PRADESH,2002,Never Married,908,689,1597
ANDHRA PRADESH,2002,Married,5435,2503,7938
ANDHRA PRADESH,2002,Widowed/Widower,847,704,1551
ANDHRA PRADESH,2002,Divorcee,72,77,149
ANDHRA PRADESH,2002,Seperated,309,149,458
ANDHRA PRADESH,2002,Total,7571,4122,11693
ANDHRA PRADESH,2003,Never Married,1205,774,1979
ANDHRA PRADESH,2003,Married,5673,2633,8306
ANDHRA PRADESH,2003,Widowed/Widower,324,274,598
ANDHRA PRADESH,2003,Divorcee,88,58,146
ANDHRA PRADESH,2003,Seperated,223,157,380
ANDHRA PRADESH,2003,Total,7513,3896,11409
ANDHRA PRADESH,2004,Never Married,1464,675,2139
ANDHRA PRADESH,2004,Married,6577,3154,9731
ANDHRA PRADESH,2004,Widowed/Widower,321,232,553
ANDHRA PRADESH,2004,Divorcee,142,65,207
ANDHRA PRADESH,2004,Seperated,578,318,896
ANDHRA PRADESH,2004,Total,9082,4444,13526
ANDHRA PRADESH,2005,Never Married,1389,692,2081
ANDHRA PRADESH,2005,Married,6344,3114,9458
ANDHRA PRADESH,2005,Widowed/Widower,555,391,946
ANDHRA PRADESH,2005,Divorcee,83,46,129
ANDHRA PRADESH,2005,Seperated,494,334,828
ANDHRA PRADESH,2005,Total,8865,4577,13442
ANDHRA PRADESH,2006,Never Married,1393,840,2233
ANDHRA PRADESH,2006,Married,6847,3125,9972
ANDHRA PRADESH,2006,Widowed/Widower,256,252,508
ANDHRA PRADESH,2006,Divorcee,75,54,129
ANDHRA PRADESH,2006,Seperated,292,142,434
ANDHRA PRADESH,2006,Total,8863,4413,13276
ANDHRA PRADESH,2007,Never Married,1156,651,1807
ANDHRA PRADESH,2007,Married,7905,3505,11410
ANDHRA PRADESH,2007,Widowed/Widower,351,248,599
ANDHRA PRADESH,2007,Divorcee,72,66,138
ANDHRA PRADESH,2007,Seperated,465,463,928
ANDHRA PRADESH,2007,Total,9949,4933,14882
ANDHRA PRADESH,2008,Never Married,1533,834,2367
ANDHRA PRADESH,2008,Married,7357,3212,10569
ANDHRA PRADESH,2008,Widowed/Widower,442,362,804
ANDHRA PRADESH,2008,Divorcee,193,110,303
ANDHRA PRADESH,2008,Seperated,196,115,311
ANDHRA PRADESH,2008,Total,9721,4633,14354
ANDHRA PRADESH,2009,Never Married,1527,792,2319
ANDHRA PRADESH,2009,Married,7439,3340,10779
ANDHRA PRADESH,2009,Widowed/Widower,336,276,612
ANDHRA PRADESH,2009,Divorcee,164,83,247
ANDHRA PRADESH,2009,Seperated,421,122,543
ANDHRA PRADESH,2009,Total,9887,4613,14500
ANDHRA PRADESH,2010,Never Married,1506,669,2175
ANDHRA PRADESH,2010,Married,8659,3706,12365
ANDHRA PRADESH,2010,Widowed/Widower,315,290,605
ANDHRA PRADESH,2010,Divorcee,122,104,226
ANDHRA PRADESH,2010,Seperated,345,185,530
ANDHRA PRADESH,2010,Total,10947,4954,15901
ANDHRA PRADESH,2011,Never Married,1028,571,1599
ANDHRA PRADESH,2011,Married,8241,3779,12020
ANDHRA PRADESH,2011,Widowed/Widower,336,270,606
ANDHRA PRADESH,2011,Divorcee,95,97,192
ANDHRA PRADESH,2011,Seperated,420,240,660
ANDHRA PRADESH,2011,Total,10120,4957,15077
ANDHRA PRADESH,2012,Never Married,1136,685,1821
ANDHRA PRADESH,2012,Married,7813,3630,11443
ANDHRA PRADESH,2012,Widowed/Widower,261,210,471
ANDHRA PRADESH,2012,Divorcee,98,94,192
ANDHRA PRADESH,2012,Seperated,219,92,311
ANDHRA PRADESH,2012,Total,9527,4711,14238
ARUNACHAL PRADESH,2001,Never Married,12,10,22
ARUNACHAL PRADESH,2001,Married,64,22,86
ARUNACHAL PRADESH,2001,Widowed/Widower,0,2,2
ARUNACHAL PRADESH,2001,Divorcee,0,0,0
ARUNACHAL PRADESH,2001,Seperated,0,1,1
ARUNACHAL PRADESH,2001,Total,76,35,111
ARUNACHAL PRADESH,2002,Never Married,12,20,32
ARUNACHAL PRADESH,2002,Married,59,22,81
ARUNACHAL PRADESH,2002,Widowed/Widower,0,1,1
ARUNACHAL PRADESH,2002,Divorcee,0,0,0
ARUNACHAL PRADESH,2002,Seperated,0,0,0
ARUNACHAL PRADESH,2002,Total,71,43,114
ARUNACHAL PRADESH,2003,Never Married,11,7,18
ARUNACHAL PRADESH,2003,Married,41,20,61
ARUNACHAL PRADESH,2003,Widowed/Widower,1,0,1
ARUNACHAL PRADESH,2003,Divorcee,0,0,0
ARUNACHAL PRADESH,2003,Seperated,1,0,1
ARUNACHAL PRADESH,2003,Total,54,27,81
ARUNACHAL PRADESH,2004,Never Married,11,10,21
ARUNACHAL PRADESH,2004,Married,38,20,58
ARUNACHAL PRADESH,2004,Widowed/Widower,0,0,0
ARUNACHAL PRADESH,2004,Divorcee,0,0,0
ARUNACHAL PRADESH,2004,Seperated,0,0,0
ARUNACHAL PRADESH,2004,Total,49,30,79
ARUNACHAL PRADESH,2005,Never Married,18,7,25
ARUNACHAL PRADESH,2005,Married,31,14,45
ARUNACHAL PRADESH,2005,Widowed/Widower,0,0,0
ARUNACHAL PRADESH,2005,Divorcee,0,0,0
ARUNACHAL PRADESH,2005,Seperated,0,0,0
ARUNACHAL PRADESH,2005,Total,49,21,70
ARUNACHAL PRADESH,2006,Never Married,20,7,27
ARUNACHAL PRADESH,2006,Married,76,26,102
ARUNACHAL PRADESH,2006,Widowed/Widower,0,0,0
ARUNACHAL PRADESH,2006,Divorcee,0,0,0
ARUNACHAL PRADESH,2006,Seperated,0,0,0
ARUNACHAL PRADESH,2006,Total,96,33,129
ARUNACHAL PRADESH,2007,Never Married,33,14,47
ARUNACHAL PRADESH,2007,Married,65,17,82
ARUNACHAL PRADESH,2007,Widowed/Widower,0,0,0
ARUNACHAL PRADESH,2007,Divorcee,0,0,0
ARUNACHAL PRADESH,2007,Seperated,0,0,0
ARUNACHAL PRADESH,2007,Total,98,31,129
ARUNACHAL PRADESH,2008,Never Married,13,8,21
ARUNACHAL PRADESH,2008,Married,63,22,85
ARUNACHAL PRADESH,2008,Widowed/Widower,0,3,3
ARUNACHAL PRADESH,2008,Divorcee,1,0,1
ARUNACHAL PRADESH,2008,Seperated,0,0,0
ARUNACHAL PRADESH,2008,Total,77,33,110
ARUNACHAL PRADESH,2009,Never Married,15,9,24
ARUNACHAL PRADESH,2009,Married,61,21,82
ARUNACHAL PRADESH,2009,Widowed/Widower,0,3,3
ARUNACHAL PRADESH,2009,Divorcee,1,0,1
ARUNACHAL PRADESH,2009,Seperated,0,0,0
ARUNACHAL PRADESH,2009,Total,77,33,110
ARUNACHAL PRADESH,2010,Never Married,20,16,36
ARUNACHAL PRADESH,2010,Married,71,24,95
ARUNACHAL PRADESH,2010,Widowed/Widower,0,0,0
ARUNACHAL PRADESH,2010,Divorcee,0,0,0
ARUNACHAL PRADESH,2010,Seperated,0,0,0
ARUNACHAL PRADESH,2010,Total,91,40,131
ARUNACHAL PRADESH,2011,Never Married,38,12,50
ARUNACHAL PRADESH,2011,Married,61,23,84
ARUNACHAL PRADESH,2011,Widowed/Widower,0,0,0
ARUNACHAL PRADESH,2011,Divorcee,0,0,0
ARUNACHAL PRADESH,2011,Seperated,0,0,0
ARUNACHAL PRADESH,2011,Total,99,35,134
ARUNACHAL PRADESH,2012,Never Married,23,11,34
ARUNACHAL PRADESH,2012,Married,75,18,93
ARUNACHAL PRADESH,2012,Widowed/Widower,2,0,2
ARUNACHAL PRADESH,2012,Divorcee,0,1,1
ARUNACHAL PRADESH,2012,Seperated,0,0,0
ARUNACHAL PRADESH,2012,Total,100,30,130
ASSAM,2001,Never Married,634,263,897
ASSAM,2001,Married,1032,475,1507
ASSAM,2001,Widowed/Widower,36,27,63
ASSAM,2001,Divorcee,21,12,33
ASSAM,2001,Seperated,113,34,147
ASSAM,2001,Total,1836,811,2647
ASSAM,2002,Never Married,533,225,758
ASSAM,2002,Married,927,466,1393
ASSAM,2002,Widowed/Widower,57,40,97
ASSAM,2002,Divorcee,44,25,69
ASSAM,2002,Seperated,141,52,193
ASSAM,2002,Total,1702,808,2510
ASSAM,2003,Never Married,466,273,739
ASSAM,2003,Married,770,434,1204
ASSAM,2003,Widowed/Widower,197,106,303
ASSAM,2003,Divorcee,43,13,56
ASSAM,2003,Seperated,200,94,294
ASSAM,2003,Total,1676,920,2596
ASSAM,2004,Never Married,590,233,823
ASSAM,2004,Married,1076,499,1575
ASSAM,2004,Widowed/Widower,46,37,83
ASSAM,2004,Divorcee,21,13,34
ASSAM,2004,Seperated,212,112,324
ASSAM,2004,Total,1945,894,2839
ASSAM,2005,Never Married,559,278,837
ASSAM,2005,Married,1149,491,1640
ASSAM,2005,Widowed/Widower,87,38,125
ASSAM,2005,Divorcee,27,11,38
ASSAM,2005,Seperated,129,77,206
ASSAM,2005,Total,1951,895,2846
ASSAM,2006,Never Married,648,287,935
ASSAM,2006,Married,1274,533,1807
ASSAM,2006,Widowed/Widower,69,37,106
ASSAM,2006,Divorcee,23,11,34
ASSAM,2006,Seperated,102,47,149
ASSAM,2006,Total,2116,915,3031
ASSAM,2007,Never Married,619,331,950
ASSAM,2007,Married,1249,514,1763
ASSAM,2007,Widowed/Widower,67,62,129
ASSAM,2007,Divorcee,38,14,52
ASSAM,2007,Seperated,143,25,168
ASSAM,2007,Total,2116,946,3062
ASSAM,2008,Never Married,496,249,745
ASSAM,2008,Married,1146,579,1725
ASSAM,2008,Widowed/Widower,91,95,186
ASSAM,2008,Divorcee,47,24,71
ASSAM,2008,Seperated,190,72,262
ASSAM,2008,Total,1970,1019,2989
ASSAM,2009,Never Married,633,337,970
ASSAM,2009,Married,1119,652,1771
ASSAM,2009,Widowed/Widower,32,25,57
ASSAM,2009,Divorcee,4,19,23
ASSAM,2009,Seperated,94,51,145
ASSAM,2009,Total,1882,1084,2966
ASSAM,2010,Never Married,582,252,834
ASSAM,2010,Married,1267,565,1832
ASSAM,2010,Widowed/Widower,16,22,38
ASSAM,2010,Divorcee,12,21,33
ASSAM,2010,Seperated,149,107,256
ASSAM,2010,Total,2026,967,2993
ASSAM,2011,Never Married,577,202,779
ASSAM,2011,Married,1097,546,1643
ASSAM,2011,Widowed/Widower,34,63,97
ASSAM,2011,Divorcee,22,23,45
ASSAM,2011,Seperated,96,66,162
ASSAM,2011,Total,1826,900,2726
ASSAM,2012,Never Married,673,217,890
ASSAM,2012,Married,1600,579,2179
ASSAM,2012,Widowed/Widower,34,27,61
ASSAM,2012,Divorcee,21,25,46
ASSAM,2012,Seperated,64,24,88
ASSAM,2012,Total,2392,872,3264
BIHAR,2001,Never Married,107,84,191
BIHAR,2001,Married,162,170,332
BIHAR,2001,Widowed/Widower,17,26,43
BIHAR,2001,Divorcee,7,4,11
BIHAR,2001,Seperated,14,12,26
BIHAR,2001,Total,307,296,603
BIHAR,2002,Never Married,135,69,204
BIHAR,2002,Married,261,203,464
BIHAR,2002,Widowed/Widower,9,16,25
BIHAR,2002,Divorcee,8,2,10
BIHAR,2002,Seperated,13,4,17
BIHAR,2002,Total,426,294,720
BIHAR,2003,Never Married,113,63,176
