"V1"
"A & N ISLANDS",1623
"ANDHRA PRADESH",162820
"ARUNACHAL PRADESH",1328
"ASSAM",34469
"BIHAR",9245
"CHANDIGARH",1034
"CHHATTISGARH",60495
"D & N HAVELI",686
"DAMAN & DIU",279
"DELHI (UT)",16857
"GOA",3475
"GUJARAT",66177
"HARYANA",29437
"HIMACHAL PRADESH",5319
"JAMMU & KASHMIR",2968
"JHARKHAND",9950
"KARNATAKA",146965
"KERALA",107936
"LAKSHADWEEP",10
"MADHYA PRADESH",90307
"MAHARASHTRA",180389
"MANIPUR",421
"MEGHALAYA",1086
"MIZORAM",834
"NAGALAND",347
"ODISHA",53448
"PUDUCHERRY",6429
"PUNJAB",9270
"RAJASTHAN",51027
"SIKKIM",1924
"TAMIL NADU",160970
"TOTAL (ALL INDIA)",0
"TOTAL (STATES)",0
"TOTAL (UTs)",0
"TRIPURA",8759
"UTTAR PRADESH",45697
"UTTARAKHAND",3587
"WEST BENGAL",155868
