"cause","suicides"
"Bankruptcy or Sudden change in Economic Status",35384
"Cancellation/Non-Settlement of Marriage",11234
"Cancer",9027
"Death of Dear Person",10198
"Divorce",4091
"Dowry Dispute",31950
"Drug Abuse/Addiction",29920
"Failure in Examination",26750
"Fall in Social Reputation",13424
"Family Problems",339907
"Ideological Causes/Hero Worshipping",2111
"Illegitimate Pregnancy",2479
"Illness (Aids/STD)",8669
"Insanity/Mental Illness",93887
"Love Affairs",44759
"Not having Children (Barrenness/Impotency)",8534
"Other Causes (Please Specity)",448591
"Other Prolonged Illness",193797
"Paralysis",7244
"Physical Abuse (Rape/Incest Etc.)",3986
"Poverty",32590
"Professional/Career Problem",12405
"Property Dispute",18475
"Suspected/Illicit Relation",14817
"Unemployment",27207
