"means_adopted","suicides"
"By coming under running vehicles/trains",45299
"By Consuming Insecticides",275501
"By Consuming Other Poison",231178
"By Drowning",96711
"By Fire-Arms",6294
"By Fire/Self Immolation",128006
"By Hanging",460955
"By Jumping from (Building)",7871
"By Jumping from (Other sites)",8127
"By Jumping off Moving Vehicles/Trains",8116
"By Machine",1661
"By Other means",9238
"By Other means (please specify)",135132
"By Over Alcoholism",15973
"By Overdose of sleeping pills",9960
"By Self Infliction of injury",5093
"By touching electric wires",10816
