state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
A & N ISLANDS,645,720,565,610,695,665,775,714,655,780,680,605
ANDHRA PRADESH,52610,58465,57045,67630,67210,66380,74410,71729,72500,79505,75385,71190
ARUNACHAL PRADESH,555,570,405,395,350,645,644,549,549,655,670,646
ASSAM,13230,12550,12963,14178,14209,15155,15301,14945,14830,14965,13630,16320
BIHAR,3015,3600,2984,1755,2715,3090,4825,5075,5255,6130,3975,3795
CHANDIGARH,350,435,515,375,445,400,408,415,374,355,525,567
CHHATTISGARH,20051,19750,19595,22475,24405,23130,24195,24725,29415,32563,33780,28270
D & N HAVELI,250,250,260,195,345,210,380,300,280,315,315,330
DAMAN & DIU,69,85,118,65,159,110,75,95,115,155,165,180
DELHI (UT),6195,5265,5765,6277,6224,7458,7405,6511,7385,7713,8580,9494
GOA,1280,1545,1500,1570,1410,1375,1350,1431,1382,1610,1465,1445
GUJARAT,23955,23216,22830,23868,23825,25172,27900,30818,30779,31035,31910,35550
HARYANA,10031,11000,11135,10410,10230,11580,12165,13280,12515,14470,16225,14135
HIMACHAL PRADESH,1535,1670,1926,1840,1795,2285,2010,3148,2800,2703,2214,2636
JAMMU & KASHMIR,765,919,690,560,1470,1301,1170,1547,1602,1295,1432,2070
JHARKHAND,1250,1360,1360,2085,4040,4280,6427,4555,5550,6158,6060,6595
KARNATAKA,59405,61350,61805,59685,57785,61060,61520,61110,60975,63255,63110,63765
KERALA,47860,49050,47190,45265,46220,45130,44810,42845,43775,42930,41421,42450
LAKSHADWEEP,0,0,10,0,0,10,15,0,5,5,0,5
MADHYA PRADESH,34300,34495,33810,33975,27240,32175,31645,38145,45565,45015,46295,48875
MAHARASHTRA,73090,72645,73800,73645,72130,77470,75920,71870,71500,79580,79735,80560
MANIPUR,205,195,130,204,134,180,195,170,134,185,165,205
MEGHALAYA,435,332,205,275,355,459,435,424,557,537,761,640
MIZORAM,270,330,260,300,275,348,140,205,339,380,450,857
NAGALAND,200,135,109,155,135,140,116,210,153,60,165,150
ODISHA,20254,21940,22100,21075,21040,20325,21540,24520,21825,21275,26205,25135
PUDUCHERRY,2645,2835,2910,2694,2690,2630,2585,2535,2590,2540,2785,2705
PUNJAB,3240,2535,3155,3225,2940,3860,4235,4345,4235,4600,4830,5150
RAJASTHAN,15975,16240,18305,18625,20889,21315,22185,25830,25325,24600,21740,24105
SIKKIM,470,383,525,488,545,725,610,1435,1204,1400,916,905
TAMIL NADU,56450,56134,59360,64195,60380,61905,69055,72125,71832,82805,79815,84635
TRIPURA,4270,3891,4220,3850,3575,3825,3525,3760,3689,3625,3515,4220
UTTAR PRADESH,17580,21250,18315,18185,17245,15495,19610,20440,20790,18140,24195,22107
UTTARAKHAND,1555,1805,1953,1185,1365,1630,1238,948,1710,1402,1585,2120
WEST BENGAL,68450,65035,66400,67035,75075,78625,74300,74260,73240,80185,82460,44871
