state,Male,Female
A & N ISLANDS,5359,2750
ANDHRA PRADESH,542120,271939
ARUNACHAL PRADESH,4679,1954
ASSAM,117152,55124
BIHAR,25960,20254
CHANDIGARH,3277,1887
CHHATTISGARH,203780,98574
D & N HAVELI,2030,1400
DAMAN & DIU,916,475
DELHI (UT),53594,30678
GOA,11841,5522
GUJARAT,198365,132493
HARYANA,108070,39106
HIMACHAL PRADESH,16921,9641
JAMMU & KASHMIR,8016,6805
JHARKHAND,32038,17682
KARNATAKA,491955,242870
KERALA,393793,145153
LAKSHADWEEP,20,30
MADHYA PRADESH,248385,203150
MAHARASHTRA,608770,293175
MANIPUR,1438,664
MEGHALAYA,3857,1558
MIZORAM,3599,555
NAGALAND,1295,433
ODISHA,157629,109605
PUDUCHERRY,21140,11004
PUNJAB,35375,10975
RAJASTHAN,172845,82289
SIKKIM,6287,3319
TAMIL NADU,512206,306485
TRIPURA,27406,18559
UTTAR PRADESH,125327,108025
UTTARAKHAND,10948,7548
WEST BENGAL,484695,365241
