state,0-100+,0-14,15-29,30-44,45-59,60+
A & N ISLANDS,3246,159,1890,1392,929,493
ANDHRA PRADESH,325640,9795,165363,170310,104751,38200
ARUNACHAL PRADESH,2656,147,1712,1570,479,69
ASSAM,68938,2197,40152,38241,19781,2967
BIHAR,18490,1716,11160,9887,3719,1242
CHANDIGARH,2068,48,1587,1047,333,81
CHHATTISGARH,120990,6120,66070,59862,35674,13638
D & N HAVELI,1372,18,909,549,363,219
DAMAN & DIU,558,33,392,262,125,21
DELHI (UT),33714,1268,26583,16160,5232,1315
GOA,6950,183,3657,3762,1905,906
GUJARAT,132354,2600,78543,68901,35604,12856
HARYANA,58874,2145,34779,31998,14844,4536
HIMACHAL PRADESH,10638,320,6215,5280,2919,1190
JAMMU & KASHMIR,5936,135,4132,3040,1122,456
JHARKHAND,19900,1350,10716,10376,6063,1315
KARNATAKA,293930,9654,139680,150219,101508,39834
KERALA,215872,3247,63855,97419,98841,59712
LAKSHADWEEP,20,0,6,15,6,3
MADHYA PRADESH,180614,9030,122010,82830,39447,17604
MAHARASHTRA,360778,5751,204870,186837,99486,44223
MANIPUR,842,15,591,489,132,33
MEGHALAYA,2172,96,1479,1016,502,150
MIZORAM,1668,84,1144,894,285,79
NAGALAND,694,21,387,480,146,0
ODISHA,106896,5688,58995,53883,31215,10557
PUDUCHERRY,12858,228,6753,6365,4188,1752
PUNJAB,18540,447,11025,9516,4755,2067
RAJASTHAN,102054,4536,57453,56016,28440,6635
SIKKIM,3848,228,2237,1732,1081,480
TAMIL NADU,327626,9615,157404,169797,110290,43959
TRIPURA,18388,931,10980,9405,4704,1557
UTTAR PRADESH,93360,4757,61440,43572,21315,8908
UTTARAKHAND,7404,310,4962,3759,1656,405
WEST BENGAL,351974,15538,174906,174718,103337,29463
