state,Bankruptcy or Sudden change in Economic,Bankruptcy or Sudden change in Economic Status,Cancellation/Non-Settlement of Marriage,Cancer,Causes Not known,Death of Dear Person,Divorce,Dowry Dispute,Drug Abuse/Addiction,Failure in Examination,Fall in Social Reputation,Family Problems,Ideological Causes/Hero Worshipping,Illegitimate Pregnancy,Illness (Aids/STD),Insanity/Mental Illness,Love Affairs,Not having Children (Barrenness/Impotency,Not having Children(Barrenness/Impotency,Other Causes (Please Specity),Other Prolonged Illness,Paralysis,Physical Abuse (Rape/Incest Etc.),Poverty,Professional/Career Problem,Property Dispute,Suspected/Illicit Relation,Unemployment
A & N ISLANDS,3,0,7,5,279,10,1,0,0,30,6,99,0,0,0,238,75,0,3,465,341,2,0,16,7,6,6,24
ANDHRA PRADESH,8112,140,814,1304,12963,777,281,2769,754,2549,982,30696,314,132,3885,10521,3325,27,614,27040,33836,1248,233,13357,1096,2026,1132,1893
ARUNACHAL PRADESH,8,0,4,0,813,2,0,0,3,5,1,96,0,0,0,20,27,0,0,285,28,1,0,9,3,1,2,20
ASSAM,99,5,281,344,9923,280,188,146,169,1352,346,4312,19,192,158,513,4852,0,62,2678,1953,92,107,2189,152,2293,249,1515
BIHAR,34,3,103,19,1244,53,40,415,184,281,57,1824,66,48,29,294,478,4,39,3079,405,24,28,68,14,46,267,99
CHANDIGARH,9,1,3,2,126,0,1,16,31,45,8,303,0,11,0,40,41,1,3,229,70,1,5,18,0,2,2,66
CHHATTISGARH,449,39,200,124,19191,341,40,649,1695,593,452,8066,23,61,383,2972,1306,23,201,15274,6576,194,370,244,205,151,435,238
D & N HAVELI,4,0,8,2,74,9,2,0,41,2,11,187,0,1,1,61,42,1,14,126,59,5,9,1,4,1,10,11
DAMAN & DIU,0,0,0,0,160,0,1,0,0,1,1,16,0,1,0,17,12,0,1,56,10,0,0,1,1,0,0,1
DELHI (UT),223,18,159,28,5736,79,35,589,308,510,160,4105,15,13,43,308,584,4,39,1662,927,12,19,403,113,115,106,544
GOA,58,5,5,11,862,14,4,13,49,44,58,470,0,2,15,602,194,6,18,507,300,11,1,29,30,9,16,142
GUJARAT,1509,132,1220,530,12790,700,348,453,364,1049,1068,13057,81,47,276,6761,2318,79,626,7152,8352,424,255,1354,941,407,842,3042
HARYANA,147,4,162,70,4099,213,87,275,616,476,228,5045,261,5,223,1327,429,7,179,10892,1925,116,57,319,328,1041,172,734
HIMACHAL PRADESH,21,2,89,48,887,9,3,45,57,134,44,1144,1,3,12,377,216,4,17,1551,363,22,7,36,24,65,88,50
JAMMU & KASHMIR,48,0,54,25,737,5,17,96,94,69,45,426,2,19,13,34,121,0,22,782,148,28,6,35,12,28,46,56
JHARKHAND,246,21,84,10,1317,160,91,112,286,396,146,1146,8,31,44,426,408,0,79,3639,209,34,49,142,100,116,369,281
KARNATAKA,2286,237,560,729,32995,807,142,712,765,1869,670,24042,97,45,577,7325,1701,99,988,30225,31625,755,108,4212,605,626,375,1788
KERALA,7827,1135,433,1248,10990,1097,246,252,2113,728,659,36327,144,56,47,15276,1223,26,383,9972,14640,664,40,36,672,412,240,1050
LAKSHADWEEP,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0
MADHYA PRADESH,802,84,719,339,21888,851,190,7368,3031,1661,1386,18281,62,333,523,4670,2303,60,620,8642,9380,366,1436,604,1081,1233,1347,1047
MAHARASHTRA,6732,367,1714,1237,8071,1585,376,3391,12671,3284,1370,65341,108,121,1268,14859,2872,120,1251,5154,33808,1069,394,4083,3019,818,813,4493
MANIPUR,0,0,0,0,269,0,0,0,9,0,0,26,0,0,0,0,19,0,0,93,0,0,0,1,2,0,0,2
MEGHALAYA,3,0,0,1,575,1,3,0,10,11,1,180,2,2,1,48,47,1,1,106,56,3,0,16,8,1,4,5
MIZORAM,4,0,0,0,413,3,10,0,112,0,7,32,0,5,10,1,7,0,0,197,1,0,0,29,1,0,0,2
NAGALAND,1,0,0,0,183,0,1,0,23,0,0,26,0,1,0,2,6,0,0,78,6,0,2,0,8,0,3,7
ODISHA,163,42,412,195,13780,250,128,1206,78,843,670,11924,51,218,189,1044,2585,20,203,13470,1684,66,13,421,279,474,1555,1485
PUDUCHERRY,35,17,116,37,255,124,0,2,1,79,68,2724,0,1,8,369,88,1,31,701,1691,16,1,2,19,2,8,33
PUNJAB,84,1,30,28,1537,105,70,143,598,151,254,1506,93,39,48,2182,185,1,63,270,654,240,120,286,60,152,137,233
RAJASTHAN,611,98,255,81,8333,214,157,615,1589,606,299,11430,9,33,31,4782,1109,30,167,14723,3301,38,26,315,492,764,600,319
SIKKIM,22,0,59,10,606,14,3,0,84,31,53,234,4,3,0,291,47,0,12,305,84,1,3,1,19,1,16,21
TAMIL NADU,1617,136,1031,368,15336,994,593,1234,1952,3011,1789,49663,575,253,206,4974,5684,78,916,28009,31304,1034,248,3188,1374,2552,1523,4171
TRIPURA,114,0,102,59,1731,57,61,332,35,302,31,2743,30,42,6,260,812,15,20,1391,370,47,14,138,59,48,237,138
UTTAR PRADESH,398,63,536,328,10865,141,230,4606,1210,1429,664,9733,51,187,292,1880,2166,38,546,3957,3227,95,264,668,301,686,1212,907
UTTARAKHAND,92,42,30,13,927,14,18,130,84,93,62,862,56,21,6,188,151,1,23,412,185,11,3,72,22,10,66,108
WEST BENGAL,994,63,2106,1863,37111,1412,766,6401,1030,5371,1868,35885,46,568,428,11564,9606,120,681,22928,7045,667,174,391,1503,4566,3033,2840
