state,Farming/Agriculture Activity,House Wife,Others (Please Specify),Professional Activity,Public Sector Undertaking,Retired Person,Self-employed (Business activity),Service (Government),Service (Private),Student,Unemployed
A & N ISLANDS,94,360,114,2,7,32,32,191,552,156,77
ANDHRA PRADESH,26587,27634,59188,4923,3799,845,11076,2607,12007,6609,7504
ARUNACHAL PRADESH,185,202,226,3,12,5,108,174,182,109,115
ASSAM,3418,5789,13205,1261,974,80,4307,267,1011,2422,1666
BIHAR,806,1893,4209,108,84,58,205,125,339,776,631
CHANDIGARH,3,219,174,5,24,9,39,59,190,155,151
CHHATTISGARH,14344,9285,23020,1505,440,87,1385,618,2709,3344,3637
D & N HAVELI,168,222,75,0,0,5,11,8,127,39,31
DAMAN & DIU,4,54,79,2,2,0,4,4,93,20,13
DELHI (UT),166,3548,4216,97,278,75,342,318,2527,1759,3518
GOA,98,646,725,27,37,53,134,80,701,225,737
GUJARAT,6466,18513,12717,5136,1175,1745,3471,862,6568,3374,6123
HARYANA,2548,4273,11838,454,775,241,824,927,2815,1596,3137
HIMACHAL PRADESH,538,937,1657,91,201,22,249,202,476,448,465
JAMMU & KASHMIR,165,602,979,38,47,29,65,194,166,272,392
JHARKHAND,1051,1723,3764,274,126,53,309,145,665,957,853
KARNATAKA,25803,22460,56501,2143,3177,793,7455,2485,12852,6037,7259
KERALA,13050,16155,44323,2356,1154,1232,5435,1196,5224,3422,13655
LAKSHADWEEP,0,6,2,0,0,0,0,2,0,0,0
MADHYA PRADESH,16190,26724,23258,2858,1742,239,4278,1720,5063,4640,3595
MAHARASHTRA,44769,42059,32969,6665,1771,1727,5932,2913,19754,10441,11389
MANIPUR,18,65,77,0,7,0,11,80,2,83,75
MEGHALAYA,130,114,260,16,11,12,69,72,52,164,171
MIZORAM,73,23,303,0,13,7,45,62,39,48,205
NAGALAND,16,38,101,16,2,0,11,74,6,28,48
ODISHA,2988,8344,21995,1122,1510,434,3635,690,3959,3441,5324
PUDUCHERRY,1041,1253,784,647,51,28,222,174,707,375,1146
PUNJAB,821,1377,3817,250,96,86,531,250,870,411,761
RAJASTHAN,6526,11312,20559,602,534,133,2168,616,4358,2300,1918
SIKKIM,336,140,419,84,94,17,99,107,224,123,267
TAMIL NADU,10491,28165,58051,3407,3864,1239,11650,2825,17159,5818,20770
TRIPURA,328,1545,3550,195,128,39,623,207,254,1195,1125
UTTAR PRADESH,6854,12476,12136,906,706,162,2015,811,3427,3089,4050
UTTARAKHAND,357,834,876,78,80,88,162,132,453,243,385
WEST BENGAL,11491,36253,52980,3933,7865,1759,11210,2128,9941,10204,13181
