state,Divorcee,Married,Never Married,Seperated,Widowed/Widower
A & N ISLANDS,3,1078,533,3,6
ANDHRA PRADESH,2148,122261,23527,6612,8272
ARUNACHAL PRADESH,3,954,357,2,12
ASSAM,534,20039,10157,2394,1345
BIHAR,132,5827,2477,307,502
CHANDIGARH,2,669,363,0,0
CHHATTISGARH,197,42938,14489,438,2433
D & N HAVELI,4,508,157,6,11
DAMAN & DIU,1,141,128,3,6
DELHI (UT),47,11003,4924,620,263
GOA,20,2020,1316,39,80
GUJARAT,895,47143,13975,1050,3114
HARYANA,225,21653,5403,800,1356
HIMACHAL PRADESH,33,3636,1351,139,160
JAMMU & KASHMIR,48,1806,920,126,68
JHARKHAND,178,6243,2705,303,521
KARNATAKA,949,102867,33440,3947,5762
KERALA,999,82456,18556,1846,4079
LAKSHADWEEP,0,10,0,0,0
MADHYA PRADESH,790,61103,23211,1178,4025
MAHARASHTRA,892,134843,37539,958,6157
MANIPUR,0,244,174,0,3
MEGHALAYA,15,587,424,12,48
MIZORAM,54,347,340,77,16
NAGALAND,1,191,148,5,2
ODISHA,683,34747,14035,1370,2613
PUDUCHERRY,0,4673,1612,0,144
PUNJAB,174,5661,2903,234,298
RAJASTHAN,241,35583,13470,485,1248
SIKKIM,74,1025,595,95,135
TAMIL NADU,1777,115005,29005,9512,8514
TRIPURA,79,5722,2848,207,338
UTTAR PRADESH,586,31391,11222,1237,2244
UTTARAKHAND,63,2358,1060,63,158
WEST BENGAL,3425,115042,44937,4403,8180
