YEAR,0-100+,0-14,15-29,30-44,45-59,60+
2001,217012,9010,116655,109344,64737,25682
2002,220834,8632,117864,112529,65482,26639
2003,221702,7728,119483,111042,66991,27272
2004,227394,8733,120407,114872,69400,27543
2005,227828,7665,120701,114548,70874,27929
2006,236224,7389,126640,122097,70815,27378
2007,245274,7410,129477,125475,76699,28784
2008,250034,7143,133955,130676,75574,27632
2009,254302,8851,131745,130452,79808,30271
2010,269198,9390,142867,134534,83618,33319
2011,271170,9096,144037,138640,81876,32340
2012,270890,7363,130206,127390,79303,32136
