YEAR,Bankruptcy or Sudden change in Economic,Bankruptcy or Sudden change in Economic Status,Cancellation/Non-Settlement of Marriage,Cancer,Causes Not known,Death of Dear Person,Divorce,Dowry Dispute,Drug Abuse/Addiction,Failure in Examination,Fall in Social Reputation,Family Problems,Ideological Causes/Hero Worshipping,Illegitimate Pregnancy,Illness (Aids/STD),Insanity/Mental Illness,Love Affairs,Not having Children (Barrenness/Impotency,Not having Children(Barrenness/Impotency,Other Causes (Please Specity),Other Prolonged Illness,Paralysis,Physical Abuse (Rape/Incest Etc.),Poverty,Professional/Career Problem,Property Dispute,Suspected/Illicit Relation,Unemployment
2001,2918,0,924,780,20585,871,316,2414,1414,2062,1209,24162,104,369,741,5858,3114,0,777,13854,15947,772,376,2549,857,1599,1200,2734
2002,0,2655,963,894,19706,701,348,2410,1709,2250,874,25085,87,267,688,6440,3101,766,0,14820,17296,648,430,2448,971,1253,1358,2249
2003,2866,0,933,652,17631,1010,308,2447,1763,2255,912,26308,242,249,769,7323,3996,0,732,14801,15636,514,503,2671,1008,1515,1291,2516
2004,3063,0,762,822,18812,749,367,2638,1927,2496,710,25531,81,204,668,7117,3799,0,694,16195,16341,504,306,3403,1032,1689,1216,2571
2005,3095,0,957,748,17445,820,317,2351,2032,2283,1572,25441,215,171,1099,7604,3496,0,775,19447,14820,790,202,2548,735,1559,1220,2172
2006,3320,0,865,747,17159,879,394,2336,2188,2378,1345,30771,289,267,793,8045,4064,0,642,15278,16497,537,315,2643,1091,2244,1134,1891
2007,3312,0,984,794,20409,719,335,3148,2332,1976,1105,29238,261,158,952,8638,3383,0,801,17653,16452,496,305,2809,1273,1411,1299,2394
2008,2970,0,949,741,20124,1019,410,3038,2730,2189,1151,29777,392,238,815,8699,3774,0,743,18668,16651,652,367,3006,1176,1394,1264,2080
2009,3162,0,1003,841,21313,803,331,2921,2942,2010,1123,30082,128,141,677,8469,3711,0,680,20474,16028,716,320,2987,1354,1283,1180,2472
2010,2709,0,1027,828,22685,1035,290,3093,3343,2479,1322,31856,102,153,545,9465,4166,0,666,21438,17044,582,301,3047,966,1899,1336,2222
2011,2983,0,1119,624,23024,896,448,3239,3658,2381,1160,32909,41,184,451,8802,4586,0,707,22634,16154,539,286,2282,1160,1590,1395,2333
2012,2357,0,810,587,18176,819,269,1935,4008,2246,981,30792,176,93,525,7769,3849,0,605,20788,15699,536,281,2291,931,1216,1018,1731
