YEAR,By coming under running vehicles/trains,By Consuming Insecticides,By Consuming Other Poison,By Drowning,By Fire-Arms,By Fire/Self Immolation,By Hanging,By Jumping from (Building),By Jumping from (Other sites),By Jumping off Moving Vehicles/Trains,By Machine,By Other means,By Other means (please specify),By Over Alcoholism,By Overdose of sleeping pills,By Self Infliction of injury,By touching electric wires
2001,3548,21530,20062,8253,395,10822,29757,620,728,671,217,0,7971,1291,1088,520,1033
2002,3765,21414,19605,8150,471,10655,31385,686,780,580,185,9238,0,1319,940,527,717
2003,2991,23001,19592,7956,544,10395,32571,697,570,491,120,0,8256,1106,1381,429,751
2004,3102,23311,19017,7201,503,8697,35499,401,612,619,105,0,11184,1070,1021,308,1047
2005,3042,22316,19102,7783,752,8978,36559,546,432,741,85,0,10388,1050,828,259,1053
2006,3822,22947,18733,8579,353,10243,38706,516,867,886,117,0,9486,1256,784,216,601
2007,4406,24125,18548,8338,719,10391,38861,855,410,658,163,0,11941,1386,819,277,740
2008,3697,23895,19424,8351,479,10986,40268,670,465,497,117,0,12669,1523,660,331,985
2009,3617,25941,16842,7749,560,11650,40006,833,1018,960,150,0,14245,1572,622,313,1073
2010,4204,25288,19247,8409,666,11885,42266,795,875,743,177,0,15979,1490,589,836,1150
2011,4846,21804,21561,8060,402,11866,45015,686,618,650,132,0,16765,1389,568,481,742
2012,4259,19929,19445,7882,450,11438,50062,566,752,620,93,0,16248,1521,660,596,924
