YEAR,Farming/Agriculture Activity,House Wife,Others (Please Specify),Professional Activity,Public Sector Undertaking,Retired Person,Self-employed (Business activity),Service (Government),Service (Private),Student,Unemployed
2001,16415,21659,32102,2612,2469,884,5275,2293,8981,5474,10252
2002,17971,22730,31478,2477,2333,863,6124,2210,8591,5355,10180
2003,17164,23301,31208,3065,2890,1062,5678,2333,8109,6091,9913
2004,18241,23170,35835,2689,2188,939,5777,1874,7700,5610,9538
2005,17131,24141,36150,2723,2143,914,6244,1693,8814,5138,8798
2006,17060,25063,35944,3643,2401,1119,6934,2147,9041,5857,8886
2007,16632,24162,40883,3235,2647,1048,7280,1857,10068,6248,8511
2008,16196,24367,42337,3405,3107,886,7016,2070,10501,6060,9001
2009,17368,25092,39927,3634,2914,1031,7748,1714,10720,6761,9916
2010,15964,25058,48741,4059,2900,898,7154,1842,10502,7379,10033
2011,14027,24596,50360,4206,2684,857,7176,1626,11172,7696,10419
2012,13754,21904,44182,3456,2110,833,5706,1666,11273,6654,8927
