YEAR,Diploma,Graduate,Hr. Secondary/Intermediate/Pre-Universit,Matriculate/Secondary,Middle,No Education,Post Graduate and Above,Primary
2001,1199,1870,6747,16384,24910,28725,604,28067
2002,1096,1776,7231,17940,25482,28442,418,28032
2003,906,2104,8355,18542,25503,25964,462,29015
2004,842,2018,8646,19260,26723,26916,629,28663
2005,1063,2034,8401,19124,27318,26234,406,29334
2006,1037,2199,10411,21454,28977,25165,366,28503
2007,1078,2352,9990,21549,29694,26772,351,30851
2008,995,2777,11094,22388,29679,25920,490,31674
2009,1161,2886,11194,23720,30144,27238,1009,29799
2010,1349,3264,11519,24581,30557,26702,1197,35430
2011,1384,3422,12231,25657,32779,27038,703,32371
2012,2043,4572,13089,25967,31205,26641,840,31088
